transID,cumid,time,amount,type_label,type
3841,10008,15MAY09:17:37:06,224,正常,Normal
13113,10008,10JUL09:18:06:25,299,正常,Normal
19156,10008,17AUG09:10:04:46,14,特价,Special_offer
23653,10008,30SEP09:21:48:17,167,特价,Special_offer
26924,10008,26DEC09:19:59:52,0,赠送,Presented
29616,10008,04MAR10:19:37:14,0,赠送,Presented
36714,10008,05JUN10:09:36:03,0,赠送,Presented
37328,10008,07JUN10:20:02:55,399,正常,Normal
37427,10008,08JUN10:11:48:48,399,正常,Normal
38365,10008,14JUN10:14:08:32,0,赠送,Presented
40575,10008,23JUN10:19:35:39,399,正常,Normal
44426,10008,13JUL10:11:43:06,0,赠送,Presented
45514,10008,19JUL10:18:03:14,299,正常,Normal
47108,10008,29JUL10:16:05:25,381,正常,Normal
36851,10008,05JUN10:20:14:50,-349,退货,returned_goods
44562,10008,14JUL10:14:29:22,269,正常,Normal
48322,10008,06AUG10:14:23:50,-15,退货,returned_goods
5910,10008,23MAY09:13:14:06,0,赠送,Presented
6901,10008,28MAY09:19:55:49,0,赠送,Presented
7470,10008,01JUN09:09:42:06,30,正常,Normal
24627,10008,11OCT09:20:28:29,143,特价,Special_offer
29680,10008,06MAR10:19:59:27,5,正常,Normal
33868,10008,20MAY10:17:11:26,4,正常,Normal
35038,10008,25MAY10:21:05:12,399,正常,Normal
39026,10008,17JUN10:13:49:55,359,正常,Normal
39755,10008,19JUN10:18:33:28,0,赠送,Presented
51122,10008,30AUG10:16:07:03,149,正常,Normal
53239,10008,22SEP10:17:50:33,180,正常,Normal
15037,10008,22JUL09:22:01:26,0,赠送,Presented
15230,10008,24JUL09:12:29:44,369,正常,Normal
17903,10008,09AUG09:16:12:20,0,赠送,Presented
20211,10008,24AUG09:20:28:33,0,赠送,Presented
35035,10008,25MAY10:19:12:06,-314,退货,returned_goods
37992,10008,12JUN10:12:00:01,0,赠送,Presented
4068,10009,15MAY09:19:05:16,369,正常,Normal
8903,10009,11JUN09:20:14:52,3,正常,Normal
8941,10009,12JUN09:10:35:20,120,正常,Normal
11745,10009,30JUN09:19:10:29,3,正常,Normal
17607,10009,07AUG09:17:07:29,20,正常,Normal
27189,10009,01JAN10:22:01:25,259,正常,Normal
35583,10009,30MAY10:11:46:15,0,赠送,Presented
45147,10009,18JUL10:12:41:55,339,正常,Normal
46030,10009,23JUL10:13:20:52,0,赠送,Presented
38095,10009,12JUN10:17:44:19,0,赠送,Presented
43209,10009,07JUL10:20:16:01,0,赠送,Presented
48057,10009,03AUG10:22:32:00,449,正常,Normal
13517,10009,12JUL09:17:04:08,199,正常,Normal
37585,10009,09JUN10:12:40:16,399,正常,Normal
22023,10009,12SEP09:17:36:45,242,正常,Normal
22930,10009,22SEP09:15:31:06,332,退货,returned_goods
32068,10009,05MAY10:10:35:17,0,赠送,Presented
38974,10009,16JUN10:21:26:10,224,正常,Normal
42298,10009,03JUL10:13:09:39,299,正常,Normal
12876,10010,08JUL09:20:45:21,15,正常,Normal
22365,10010,14SEP09:22:12:57,199,特价,Special_offer
22633,10010,18SEP09:21:55:48,199,特价,Special_offer
30379,10010,31MAR10:13:37:45,0,赠送,Presented
42602,10010,05JUL10:11:19:25,296,正常,Normal
45913,10010,22JUL10:19:02:17,0,赠送,Presented
50263,10010,21AUG10:10:37:11,120,正常,Normal
52264,10010,11SEP10:17:17:51,179,正常,Normal
11156,10010,27JUN09:13:58:21,0,赠送,Presented
16541,10010,01AUG09:09:45:24,0,赠送,Presented
27216,10010,02JAN10:17:01:48,149,特价,Special_offer
28390,10010,27JAN10:17:06:18,259,正常,Normal
29094,10010,16FEB10:20:32:23,349,正常,Normal
31456,10010,29APR10:14:46:41,299,正常,Normal
38245,10010,13JUN10:17:31:25,0,赠送,Presented
38397,10010,14JUN10:14:40:14,0,赠送,Presented
45048,10010,17JUL10:19:15:23,0,赠送,Presented
50322,10010,21AUG10:17:43:54,0,赠送,Presented
52664,10010,15SEP10:20:44:12,0,赠送,Presented
18604,10010,14AUG09:21:28:27,269,正常,Normal
38349,10010,14JUN10:12:43:03,0,赠送,Presented
39612,10010,19JUN10:11:28:52,0,赠送,Presented
3586,10011,15MAY09:14:08:59,269,正常,Normal
6983,10011,29MAY09:13:48:22,3,正常,Normal
20864,10011,30AUG09:21:46:16,215,特价,Special_offer
25258,10011,18OCT09:21:30:22,100,正常,Normal
30668,10011,08APR10:20:06:30,0,赠送,Presented
32026,10011,04MAY10:17:06:40,449,正常,Normal
32871,10011,12MAY10:22:04:06,0,赠送,Presented
47438,10011,31JUL10:20:14:12,18,正常,Normal
53604,10011,24SEP10:21:43:34,0,赠送,Presented
7385,10011,31MAY09:12:16:51,30,正常,Normal
8104,10011,06JUN09:18:51:03,249,正常,Normal
14740,10011,20JUL09:15:37:02,199,正常,Normal
16227,10011,30JUL09:12:17:30,199,正常,Normal
19543,10011,20AUG09:10:53:35,249,正常,Normal
26951,10011,27DEC09:20:37:00,140,正常,Normal
30652,10011,08APR10:15:38:43,0,赠送,Presented
36543,10011,03JUN10:21:51:10,0,赠送,Presented
36678,10011,04JUN10:21:38:47,0,赠送,Presented
37673,10011,09JUN10:20:07:51,399,正常,Normal
18210,10011,12AUG09:09:22:15,369,正常,Normal
20929,10011,31AUG09:21:56:05,183,正常,Normal
35362,10011,28MAY10:18:34:33,69,正常,Normal
42491,10011,04JUL10:16:54:40,449,正常,Normal
3566,10012,15MAY09:14:02:57,3,正常,Normal
3931,10012,15MAY09:18:18:58,399,正常,Normal
5821,10012,22MAY09:19:43:17,249,正常,Normal
6763,10012,28MAY09:14:43:21,399,正常,Normal
16392,10012,31JUL09:11:40:16,249,正常,Normal
19148,10012,17AUG09:09:07:00,332,特价,Special_offer
26148,10012,16NOV09:21:36:42,36,正常,Normal
28531,10012,31JAN10:15:08:39,0,赠送,Presented
30560,10012,04APR10:19:06:38,0,赠送,Presented
37088,10012,06JUN10:20:02:15,0,赠送,Presented
41044,10012,26JUN10:14:45:04,0,赠送,Presented
47192,10012,30JUL10:10:29:13,314,正常,Normal
50424,10012,22AUG10:19:44:53,174,正常,Normal
32378,10012,08MAY10:13:04:37,0,赠送,Presented
34340,10012,22MAY10:18:06:19,295,正常,Normal
5173,10012,19MAY09:15:22:39,369,正常,Normal
24454,10012,10OCT09:09:53:38,144,特价,Special_offer
26687,10012,19DEC09:09:16:12,190,正常,Normal
36795,10012,05JUN10:16:44:32,349,正常,Normal
37514,10012,08JUN10:19:43:00,0,赠送,Presented
49923,10012,17AUG10:19:15:45,0,赠送,Presented
52196,10012,11SEP10:10:38:40,149,正常,Normal
52279,10012,11SEP10:19:37:59,339,正常,Normal
17980,10012,09AUG09:21:22:09,359,正常,Normal
19541,10012,20AUG09:09:55:50,16,特价,Special_offer
25240,10012,18OCT09:19:10:01,151,正常,Normal
25404,10012,23OCT09:19:23:40,160,正常,Normal
4227,10013,16MAY09:11:35:08,60,正常,Normal
4743,10013,18MAY09:16:26:57,30,正常,Normal
10293,10013,20JUN09:21:35:12,-2,退货,returned_goods
13874,10013,15JUL09:13:12:26,249,正常,Normal
15732,10013,26JUL09:16:53:21,0,赠送,Presented
22728,10013,19SEP09:20:44:09,224,正常,Normal
28018,10013,19JAN10:15:57:04,12,正常,Normal
43710,10013,09JUL10:20:37:05,0,赠送,Presented
48062,10013,04AUG10:10:19:17,0,赠送,Presented
50054,10013,19AUG10:11:52:13,100,正常,Normal
39599,10013,19JUN10:10:49:38,0,赠送,Presented
39702,10013,19JUN10:16:39:28,0,赠送,Presented
4541,10013,18MAY09:13:16:38,209,正常,Normal
5008,10013,19MAY09:13:42:38,249,正常,Normal
5425,10013,20MAY09:18:48:02,174,正常,Normal
9933,10013,19JUN09:09:45:36,249,正常,Normal
20568,10013,28AUG09:10:38:36,56,特价,Special_offer
26953,10013,27DEC09:20:40:59,139,正常,Normal
33621,10013,18MAY10:13:15:41,0,赠送,Presented
34646,10013,23MAY10:18:16:16,449,正常,Normal
34953,10013,25MAY10:15:36:39,249,正常,Normal
45932,10013,22JUL10:19:57:55,279,正常,Normal
25835,10013,03NOV09:15:08:33,100,正常,Normal
35184,10013,26MAY10:18:47:11,0,赠送,Presented
3548,10014,15MAY09:13:57:07,224,正常,Normal
9272,10014,14JUN09:10:51:23,369,正常,Normal
13657,10014,13JUL09:17:16:02,249,正常,Normal
17006,10014,03AUG09:16:06:58,369,正常,Normal
19366,10014,18AUG09:20:20:06,269,特价,Special_offer
19715,10014,21AUG09:12:10:48,224,特价,Special_offer
20293,10014,25AUG09:17:24:49,224,特价,Special_offer
23005,10014,23SEP09:14:11:48,332,正常,Normal
29641,10014,05MAR10:13:13:18,0,赠送,Presented
29711,10014,07MAR10:19:04:24,349,正常,Normal
30241,10014,28MAR10:20:31:21,319,正常,Normal
46282,10014,24JUL10:18:15:21,18,正常,Normal
49439,10014,15AUG10:12:38:31,199,正常,Normal
49845,10014,17AUG10:13:40:39,0,赠送,Presented
51411,10014,02SEP10:10:32:51,0,赠送,Presented
38663,10014,15JUN10:17:23:37,0,赠送,Presented
41487,10014,28JUN10:18:31:04,399,正常,Normal
42188,10014,02JUL10:12:33:57,339,正常,Normal
50780,10014,26AUG10:15:48:31,119,正常,Normal
4797,10014,18MAY09:17:15:12,60,正常,Normal
18389,10014,13AUG09:17:03:21,199,正常,Normal
25143,10014,17OCT09:12:19:29,399,正常,Normal
27611,10014,09JAN10:21:16:13,240,正常,Normal
27888,10014,18JAN10:16:47:52,260,正常,Normal
32263,10014,07MAY10:13:11:33,-449,退货,returned_goods
35859,10014,31MAY10:16:49:41,0,赠送,Presented
37672,10014,09JUN10:20:07:51,0,赠送,Presented
43687,10014,09JUL10:19:56:04,359,正常,Normal
51068,10014,29AUG10:17:54:25,0,赠送,Presented
16901,10014,02AUG09:19:07:23,-369,退货,returned_goods
42891,10014,05JUL10:17:52:16,20,正常,Normal
5532,10015,21MAY09:09:28:45,199,正常,Normal
9343,10015,14JUN09:15:18:40,239,正常,Normal
10758,10015,24JUN09:16:14:25,399,正常,Normal
29951,10015,16MAR10:20:59:45,45,正常,Normal
41008,10015,26JUN10:10:45:08,399,正常,Normal
42449,10015,04JUL10:11:21:50,449,正常,Normal
43438,10015,08JUL10:22:01:37,0,赠送,Presented
45900,10015,22JUL10:17:27:09,0,赠送,Presented
47231,10015,30JUL10:13:33:23,296,正常,Normal
31691,10015,02MAY10:14:01:15,0,赠送,Presented
41711,10015,29JUN10:16:44:26,0,赠送,Presented
3457,10015,15MAY09:11:53:02,249,正常,Normal
8062,10015,06JUN09:16:20:00,15,正常,Normal
15299,10015,24JUL09:17:28:58,0,赠送,Presented
15944,10015,27JUL09:20:44:21,249,正常,Normal
17396,10015,06AUG09:12:05:54,0,赠送,Presented
24761,10015,12OCT09:10:44:27,125,特价,Special_offer
34175,10015,21MAY10:21:25:42,0,赠送,Presented
36854,10015,05JUN10:20:19:39,399,正常,Normal
37928,10015,11JUN10:19:27:00,349,正常,Normal
48264,10015,05AUG10:21:48:48,0,赠送,Presented
25949,10015,07NOV09:18:35:20,332,正常,Normal
27500,10015,08JAN10:11:37:46,30,正常,Normal
39607,10015,19JUN10:11:25:06,-299,退货,returned_goods
41494,10015,28JUN10:18:41:35,249,正常,Normal
24146,10016,05OCT09:21:27:20,120,特价,Special_offer
35988,10016,01JUN10:16:41:08,-314,退货,returned_goods
3964,10016,15MAY09:18:30:35,30,正常,Normal
5705,10016,21MAY09:13:42:19,299,正常,Normal
6232,10016,24MAY09:18:39:14,249,正常,Normal
7610,10016,02JUN09:17:37:40,0,赠送,Presented
8094,10016,06JUN09:18:19:49,249,正常,Normal
24318,10016,08OCT09:11:14:14,332,正常,Normal
30400,10016,01APR10:09:33:48,0,赠送,Presented
33089,10016,14MAY10:13:58:58,0,赠送,Presented
37599,10016,09JUN10:14:58:36,0,赠送,Presented
41045,10016,26JUN10:14:45:04,399,正常,Normal
43204,10016,07JUL10:19:42:35,0,赠送,Presented
15116,10016,23JUL09:17:26:19,369,正常,Normal
26667,10016,18DEC09:16:13:05,190,正常,Normal
32473,10016,09MAY10:13:34:45,399,正常,Normal
33876,10016,20MAY10:17:19:01,225,正常,Normal
40423,10016,22JUN10:20:28:52,449,正常,Normal
51071,10016,29AUG10:17:55:30,174,正常,Normal
51845,10016,07SEP10:20:34:01,399,正常,Normal
16904,10016,02AUG09:19:12:27,0,赠送,Presented
25233,10016,18OCT09:17:51:13,155,正常,Normal
25587,10016,26OCT09:21:32:23,329,正常,Normal
26641,10016,15DEC09:19:49:33,0,赠送,Presented
39219,10017,18JUN10:09:43:59,-132,退货,returned_goods
3575,10017,15MAY09:14:04:20,224,正常,Normal
3637,10017,15MAY09:14:45:01,3,正常,Normal
3846,10017,15MAY09:17:38:58,249,正常,Normal
13860,10017,15JUL09:11:18:43,369,正常,Normal
16663,10017,01AUG09:18:22:15,3,正常,Normal
16974,10017,03AUG09:11:24:39,-249,退货,returned_goods
25100,10017,15OCT09:21:08:40,119,特价,Special_offer
27622,10017,10JAN10:15:59:56,215,正常,Normal
30822,10017,11APR10:17:21:54,0,赠送,Presented
31162,10017,21APR10:20:27:57,269,正常,Normal
45226,10017,18JUL10:19:06:23,0,赠送,Presented
45507,10017,19JUL10:16:52:16,0,赠送,Presented
50626,10017,24AUG10:21:24:00,0,赠送,Presented
53356,10017,23SEP10:14:25:09,180,正常,Normal
39601,10017,19JUN10:10:49:38,299,正常,Normal
20401,10017,26AUG09:17:48:26,12,特价,Special_offer
22087,10017,13SEP09:08:46:54,2,正常,Normal
24759,10017,12OCT09:10:43:32,200,特价,Special_offer
32927,10017,13MAY10:15:21:51,0,赠送,Presented
38028,10017,12JUN10:15:52:47,0,赠送,Presented
20051,10017,23AUG09:14:32:47,0,赠送,Presented
21744,10017,09SEP09:14:25:11,-2,退货,returned_goods
22299,10017,14SEP09:13:05:23,0,赠送,Presented
24063,10017,04OCT09:20:19:44,32,正常,Normal
34539,10017,23MAY10:14:06:07,0,赠送,Presented
25290,10018,19OCT09:21:13:54,35,正常,Normal
3723,10018,15MAY09:16:26:19,3,正常,Normal
3732,10018,15MAY09:16:33:11,30,正常,Normal
4045,10018,15MAY09:18:57:59,249,正常,Normal
13669,10018,13JUL09:17:57:40,30,正常,Normal
17504,10018,06AUG09:21:27:03,75,正常,Normal
18527,10018,14AUG09:16:44:17,2,正常,Normal
29150,10018,18FEB10:17:01:01,0,赠送,Presented
34083,10018,21MAY10:14:08:59,0,赠送,Presented
35606,10018,30MAY10:12:30:48,0,赠送,Presented
46716,10018,27JUL10:13:41:37,314,正常,Normal
7614,10018,02JUN09:17:53:09,79,正常,Normal
10618,10018,22JUN09:20:10:29,0,赠送,Presented
17888,10018,09AUG09:15:39:31,28,正常,Normal
18484,10018,14AUG09:10:07:19,15,正常,Normal
26759,10018,24DEC09:08:32:40,130,正常,Normal
28785,10018,08FEB10:19:23:18,0,赠送,Presented
34986,10018,25MAY10:16:32:19,0,赠送,Presented
36763,10018,05JUN10:14:15:31,299,正常,Normal
37270,10018,07JUN10:14:55:28,0,赠送,Presented
38936,10018,16JUN10:19:49:32,399,正常,Normal
44062,10018,11JUL10:19:54:25,0,赠送,Presented
45904,10018,22JUL10:17:40:16,279,正常,Normal
15695,10018,26JUL09:16:02:12,249,正常,Normal
25171,10018,17OCT09:18:11:00,150,正常,Normal
28446,10018,30JAN10:13:03:47,42,正常,Normal
29945,10018,16MAR10:19:22:01,209,正常,Normal
35795,10018,31MAY10:14:47:59,287,正常,Normal
3625,10019,15MAY09:14:27:01,206,正常,Normal
5569,10019,21MAY09:09:39:54,2,正常,Normal
7723,10019,03JUN09:16:59:22,399,正常,Normal
8568,10019,09JUN09:20:36:08,249,正常,Normal
11913,10019,01JUL09:21:27:27,2,正常,Normal
18705,10019,15AUG09:14:01:43,332,特价,Special_offer
26803,10019,24DEC09:13:48:22,295,正常,Normal
27722,10019,12JAN10:17:25:30,0,赠送,Presented
30462,10019,02APR10:17:55:52,449,正常,Normal
30555,10019,04APR10:17:55:01,0,赠送,Presented
40761,10019,25JUN10:14:29:39,269,正常,Normal
49368,10019,14AUG10:18:02:37,0,赠送,Presented
52866,10019,18SEP10:12:12:15,209,正常,Normal
20300,10019,25AUG09:17:34:58,224,特价,Special_offer
21484,10019,07SEP09:16:02:16,319,正常,Normal
48411,10019,07AUG10:15:49:47,211,正常,Normal
13674,10019,13JUL09:18:12:05,249,正常,Normal
26468,10019,04DEC09:19:45:04,100,正常,Normal
29394,10019,25FEB10:15:10:47,239,正常,Normal
37306,10019,07JUN10:18:04:35,0,赠送,Presented
10308,10020,20JUN09:21:59:14,0,赠送,Presented
14912,10020,21JUL09:21:46:50,369,正常,Normal
15841,10020,27JUL09:11:41:22,2,正常,Normal
27755,10020,13JAN10:19:48:59,-174,退货,returned_goods
37588,10020,09JUN10:13:24:56,0,赠送,Presented
37631,10020,09JUN10:17:08:55,449,正常,Normal
37987,10020,12JUN10:10:44:19,0,赠送,Presented
53507,10020,24SEP10:18:31:01,20,正常,Normal
42247,10020,02JUL10:21:22:56,0,赠送,Presented
6527,10020,26MAY09:21:20:04,2,正常,Normal
15872,10020,27JUL09:14:51:02,269,正常,Normal
32929,10020,13MAY10:15:24:52,0,赠送,Presented
34532,10020,23MAY10:14:03:25,0,赠送,Presented
36984,10020,06JUN10:14:08:00,307,正常,Normal
23583,10020,30SEP09:17:47:13,185,正常,Normal
25388,10020,22OCT09:21:27:48,150,正常,Normal
25543,10020,25OCT09:19:54:57,0,赠送,Presented
26514,10020,07DEC09:11:19:48,0,赠送,Presented
30520,10020,04APR10:08:37:12,15,正常,Normal
38567,10020,15JUN10:12:05:02,36,正常,Normal
5543,10021,21MAY09:09:31:06,2,正常,Normal
13977,10021,16JUL09:12:06:25,18,正常,Normal
15476,10021,25JUL09:17:13:39,-249,退货,returned_goods
22381,10021,15SEP09:14:30:15,287,正常,Normal
24277,10021,07OCT09:21:39:45,149,特价,Special_offer
24287,10021,07OCT09:21:44:01,100,特价,Special_offer
27345,10021,03JAN10:20:39:35,0,赠送,Presented
31072,10021,18APR10:19:42:15,18,正常,Normal
32892,10021,13MAY10:14:06:18,249,正常,Normal
37396,10021,08JUN10:09:02:51,-449,退货,returned_goods
39529,10021,18JUN10:19:12:39,0,赠送,Presented
40753,10021,25JUN10:14:20:17,0,赠送,Presented
48844,10021,09AUG10:17:31:34,0,赠送,Presented
50003,10021,18AUG10:13:50:16,174,正常,Normal
50446,10021,23AUG10:09:05:00,0,赠送,Presented
51291,10021,31AUG10:21:01:27,209,正常,Normal
52155,10021,10SEP10:19:06:04,120,正常,Normal
49479,10021,15AUG10:16:49:22,190,正常,Normal
35383,10021,28MAY10:20:04:18,0,赠送,Presented
43009,10021,06JUL10:14:21:58,299,正常,Normal
43875,10021,10JUL10:20:39:23,339,正常,Normal
53448,10021,23SEP10:21:33:29,0,赠送,Presented
12976,10021,09JUL09:17:09:36,224,正常,Normal
26502,10021,06DEC09:09:52:18,5,正常,Normal
3504,10022,15MAY09:12:28:24,2,正常,Normal
3514,10022,15MAY09:13:41:28,269,正常,Normal
