application_id,vehicle_year,vehicle_make,bankruptcy_ind,tot_derog,tot_tr,age_oldest_tr,tot_open_tr,tot_rev_tr,tot_rev_debt,tot_rev_line,rev_util,fico_score,purch_price,msrp,down_pyt,loan_term,loan_amt,ltv,tot_income,veh_mileage,used_ind
3875005,2000,CHEVY,N,5,5,60,,,,,0,658,19976,18255,2750,66,17226,94,5240,1,0
3896109,1999,FORD,N,0,12,65,6,3,1476,2294,64,752,19238.45,18625,2513.45,72,15499,83,3583.34,0,0
4012738,1999,CHEVROLET,N,0,19,200,5,2,3623,28700,13,783,31264.5,30065,7940.16,48,23324.34,78,5000,45000,1
4034767,2000,DODGE,N,1,24,180,4,3,6203,12813,48,708,26808.74,27965,5000,66,21808.74,78,7200,1,0
4043217,1998,FORD TRUCK,N,1,18,80,4,3,1596,13700,12,645,32450,31900,1000,48,31450,99,6750,15720,1
4052953,1996,CHEVY,N,0,8,80,4,1,1312,1120,117,641,19105,19200,0,60,19105,100,4747.33,33033,1
4078150,1998,FORD,N,0,1,13,,,,,0,637,11800,10100,1800,60,10000,99,1150,20000,1
4119801,1993,DODGE,N,0,31,182,5,1,630,20000,3,783,6974,96500,0,42,6974,7,1600,55000,1
4134211,1993,FORD,Y,7,28,276,,3,1929,8272,23,720,4295.8,4000,0,24,4295.8,107,1600,99091,1
4236442,1996,CHEVROLET,N,2,4,26,,,,,0,729,19000,15500,1000,60,18000,116,4600,77000,1
4474841,2000,TOYOTA,Y,6,10,166,4,1,570,976,58,624,17400,16712,2400,60,15000,90,4750,1,0
4493251,2000,KIA,N,0,48,154,8,6,37500,69400,54,641,14714.28,14100,750,60,13964.28,99,2800,1,0
4510297,1997,GMC,Y,16,35,203,6,3,4525,5204,87,613,16973.7,17800,0,36,16973.7,95,6000,40000,1
4519375,2000,CHEVY,N,12,15,104,,,9998,0,0,675,18588.7,18760,0,60,17588.7,94,6916.67,1,0
4531142,1998,DODGE,N,0,7,129,3,2,4580,12360,37,714,31000,29000,0,48,31000,107,3200,27500,1
4568350,2000,HONDA,N,0,4,276,1,0,0,1000,0,772,18000,16450,1000,60,17000,103,3000,1,0
4647681,0,,N,0,18,188,3,1,430,15442,3,803,6220.51,6899,2000,60,4220.51,61,4300,0,0
4653966,1999,PONT,N,3,11,75,6,2,10727,13500,79,626,16862,15750,1262,48,15600,99,2500,13000,1
4722721,1993,NISSAN,Y,5,22,178,4,2,3401,16846,20,671,9200,8000,0,24,7000,88,3250,80000,1
4725834,2000,SATURN,N,7,24,280,15,6,13430,20767,65,728,18807.29,18307,0,66,16873.72,92,7250,1,0
4836284,1999,FORD,N,0,18,233,3,2,2913,21500,14,746,22000,24000,0,39,22000,92,6500,19000,1
4899274,2000,FORD,N,0,11,204,2,1,1994,3200,62,738,17044.24,16500,0,66,15099.24,92,4000,1,0
4918252,1999,CHEVY,N,0,6,151,2,1,1225,0,0,768,26000,28750,0,48,26000,90,2800,15558,0
4991269,1995,JEEP,N,0,32,254,10,3,5224,10253,51,667,9302,8575,0,60,8302,97,1850,55000,1
5047031,1995,GMC,N,1,17,115,11,8,18333,19801,93,622,15506,16000,0,48,15506,97,5500,44000,1
5068518,1997,NISSAN,Y,11,16,146,2,1,157,2285,7,601,14000,14750,1000,60,13000,88,2900,30000,1
5119349,2000,CHEVY,N,0,11,131,,1,3380,10600,32,733,28209,29336,0,72,28209,96,4025,0,0
5137774,1996,CHEVY,N,2,14,133,,5,6955,16814,41,666,8200,7600,1000,54,7200,95,1833.33,45600,1
5183264,2000,FORD,N,3,31,158,8,5,10261,19711,52,603,37130.5,41845,130.5,36,37000,88,4166.67,1,0
5327949,1998,CHEV,N,0,23,148,4,1,3917,16900,23,767,32630,27150,0,72,27630,102,7916.67,33000,1
5330861,1999,CHRYSLER,Y,16,23,77,7,3,2600,2056,126,601,22182,17182,5000,60,17182,100,6000,1,0
5338186,1994,FORD,N,0,1,9,,,,,0,649,15729,13300,929,48,13300,100,4962.67,70000,1
5459277,1999,BUICK,N,7,11,107,,1,275,1500,18,615,17723,16075,500,54,13000,81,1126,28889,1
5546183,1997,GMC,N,7,12,40,3,2,886,1778,50,748,13900,14300,5000,66,8900,62,5250,47000,1
5548385,2000,TOYOTA,N,0,19,66,9,8,16096,53335,30,633,25340,23932,0,60,25340,106,2916.67,1,0
5557975,1999,SAAB,N,2,10,72,,3,2968,7541,39,650,27800,36470,2000,60,25800,71,6666.67,7000,0
5566221,1994,BUICK,N,3,24,192,,3,2528,18100,14,698,6873.5,8700,0,48,5873.5,68,1500,65729,1
5567129,2000,LEXUS,N,1,43,191,13,3,6549,8416,78,687,35571,31687,5000,48,30571,96,11000,1,0
5624325,1996,CHRYSLER,N,5,20,182,10,5,6902,11460,60,638,12562.75,13500,1500,48,11062.75,82,6000,49269,1
5628345,1999,FORD,N,2,5,145,,,,,0,623,34610,41000.3,100,60,34510,84,5000,1,1
5682446,2000,DODGE,N,0,22,80,,4,8365,30919,27,717,17200,19750,1250,60,15950,81,1300,1,0
5792048,1995,PONTIAC,,,,,,,,,0,,7700,7000,1000,48,6700,96,1500,68000,1
5853752,2000,NISSAN,N,0,28,67,18,11,20506,33730,61,643,23824,23524,0,66,23500,100,8250,1,0
5882174,1999,OLDS,,0,0,2,,0,0,500,0,,14372,15400,2000,66,12372,80,1666.67,24355,1
5886854,1997,GEO,N,0,15,101,4,1,320,14600,2,771,6572,7225,0,66,6572,91,5633,10000,1
5921556,1998,JEEP,N,1,27,164,9,4,13931,11700,119,705,27029,22000,238,48,26791,122,7083.33,38175,1
5948867,2000,KIA,N,0,35,273,9,5,14754,86238,17,667,21400,20858,0,72,20400,98,4698.67,1,0
5968625,1996,GMC,N,0,7,165,,2,6343,11233,56,740,8997,11000,1000,48,7997,73,1300,49586,1
5978978,1994,FORD,,,,,,,,,0,,7417,7000,700,42,6717,96,1342.63,81000,1
6024341,2000,CHEVY,N,0,21,304,,2,1010,27300,4,804,28480.05,27500,10000,48,16480.05,60,0,0,0
6033075,1994,FORD,N,1,5,43,,3,4692,4380,107,697,10777.4,9075,1000,48,9777.4,108,4000,36475,1
6048405,2000,HONDA,N,0,17,317,3,1,3678,29200,13,668,23000,21854,500,66,22500,103,7833.33,1,0
6119411,1997,DODGE,N,2,5,29,,2,490,977,50,556,10700,8750,4300,48,6400,73,1333.33,31000,1
6124744,2000,CHEVY,N,0,12,421,,1,18,22700,0,779,22000,24076,7500,66,14500,60,6916.67,1,0
6129668,1999,JEEP,N,1,18,138,4,1,3748,8536,44,741,22848,22000,0,66,21698,99,3916.67,12010,1
6165858,2000,CHEVY,N,3,7,127,2,1,1045,4900,21,648,16353,15630,0,66,14853,95,2860.1,12,0
6166673,1999,HONDA,N,0,26,85,12,6,42676,55627,77,681,22995,23113,0,66,12995,56,7666.67,10,1
6174655,1999,KIA,N,0,4,19,3,2,503,1819,28,659,21699,21064,2000,66,20791,99,2700,90,0
6213096,1994,BUICK,N,4,7,341,,2,3052,3300,92,688,5293,6300,0,48,5293,84,2400,39190,1
6234209,2000,CHEVROLET,N,0,12,29,8,4,6466,13181,49,645,20940,20307,0,66,19640,97,3333.33,1,0
6279283,2000,CHEVY,N,4,19,165,8,7,15375,21516,71,662,33000,32850,3000,66,30000,91,3250,1,0
6323309,0,,N,5,22,113,9,1,10091,10500,96,643,7461.4,0,1000,60,6461.4,87,4200,0,0
6329670,0,,N,0,10,113,4,2,619,7400,8,734,7499,0,0,60,7499,100,2400,0,0
6386288,1993,CHEVY,N,1,6,106,,2,1224,5000,24,687,10500,9075,1000,48,9500,105,3050,70998,1
6511421,2000,PONTIAC,N,9,44,157,10,6,12181,19597,62,617,37450,34035,3415,48,34035,100,6000,1,0
6559617,1999,DODGE,N,1,39,264,7,2,176,44381,0,711,21446,21000,500,60,9758,46,2583.33,19692,1
6668677,1995,SATURN,,,,,,,,,0,,8950,8050,2000,48,6950,86,2950,71000,0
6693993,1996,CHEVY,Y,5,21,213,3,1,1250,6482,19,684,13500,12100,0,60,13500,112,4250,55000,1
6713368,1998,GMC,N,2,17,197,9,8,8189,17081,48,674,18505,18725,0,66,18007,96,5554.56,35000,1
6721056,2000,DODGE,N,,,,,,,,0,714,21132.39,19979,1000,60,19132.39,96,4200,1,0
6779907,1998,JEEP,N,0,11,52,6,3,1355,18275,7,713,17621,17000,800,66,16821,99,4606,45111,1
6789301,1999,JEEP,Y,16,23,185,3,2,385,744,52,630,30000,32000,0,48,30000,94,3558,1,1
6836740,1996,CHEVY,N,0,4,38,,3,2662,4707,57,657,12700,12025,1000,48,11700,97,2166.67,20000,1
6842171,1996,CHEVROLET,N,4,6,91,,,9998,9998,100,,17022.7,15150,3371.57,60,13000,86,6033.33,40185,1
6842524,1999,FORD,N,0,15,163,3,1,3044,25000,12,800,13762.43,14000,3000,60,7128.42,51,43666.67,24262,1
6907128,1995,FORD,N,4,8,74,,,,,0,628,15200,16000,1000,42,14200,89,2800,73468,1
6930873,0,,N,7,28,164,7,4,5707,9014,63,630,7000,6399,1200,60,5800,91,6200,0,0
6944824,1994,HONDA,N,1,35,344,7,5,16900,67816,25,657,9000,10125,700,42,8300,82,3000,88000,1
6992160,1995,CHEVROLET,N,0,19,130,5,3,3743,10900,34,739,16285.5,15000,0,54,15227.5,102,2184,76000,1
6999535,1998,TOYOTA,N,0,29,130,3,2,8931,13200,68,705,30186,27450,0,66,30186,110,3333,39314,1
7021928,2000,CHEVY,N,1,27,232,12,10,13397,47587,28,683,32850,32858,2500,48,30350,92,5000,1,0
7043127,1996,TOYOTA,N,0,5,128,,0,0,3500,0,789,11800,11000,67,60,11733,107,1200,34000,1
7072470,0,,N,1,9,81,6,5,6897,8778,79,624,5200,4599,1000,48,4200,91,4000,0,0
7074658,2000,HONDA,N,1,31,208,7,4,14297,58322,25,738,15200,16145,0,60,15200,94,5166.67,1,0
7151622,1999,GEO,N,0,35,144,18,6,13473,25045,54,656,16865,16865,0,66,16865,100,5000,10,1
7159699,1999,CHEVY,N,0,7,53,3,1,722,1954,37,663,27446,27225,6000,66,21446,79,3400,1,0
7162373,1998,TOYOTA,N,0,9,50,6,5,3469,9110,38,672,19679,15750,600,66,16411,104,3333.33,38000,1
7162898,1996,SATURN,N,1,9,77,4,2,2842,9600,30,664,9383,9500,2000,54,7383,78,1583.33,80000,1
7198269,1998,PONTIAC,N,0,37,338,11,8,55697,93788,59,657,12032,18000,0,60,12032,67,8166.67,16000,1
7199081,2000,CHEV,N,0,24,177,13,7,49912,56890,88,668,30500,29558,1000,60,29500,100,3800,1,0
7213536,0,,N,0,13,65,5,4,22761,43500,52,666,6000,6199,0,60,6000,97,6000,0,0
7262922,1999,CHEVROLET,N,0,8,114,,1,255,8300,3,796,13694.5,12500,7194.5,60,6500,52,3333.33,27425,1
7303243,1994,VW,N,1,37,256,11,8,20042,30891,65,619,14887,13000,2000,42,12887,99,5220,34100,1
7445830,1997,FORD,N,5,7,139,,0,0,400,0,574,10368.97,9800,5000,60,5368.97,55,1800,29836,1
7457583,1996,PONTIAC,N,0,6,67,,1,3006,11900,25,640,12859,11600,300,54,11559,100,3333.33,30000,1
7459587,2000,FORD,N,2,11,52,4,1,469,2614,18,676,21369,23965,1546.92,60,19822.08,83,1450,20,0
7470516,2000,HONDA,N,3,15,191,3,1,2679,5917,45,710,15845,16145,1610.06,60,14234.94,88,2700,26,0
7496024,1999,DODGE,,,,,,,,,0,,11000,11000,1000,60,10000,91,550,20000,1
7500008,1999,TOYOTA,N,0,20,89,9,3,2793,35896,8,724,15570,16000,0,41,15570,97,2375,11832,1
7501035,0,,N,1,12,42,9,2,550,2195,25,651,6394,5899,495,60,5899,100,1000,0,0
7580489,1998,FORD,N,0,41,213,8,6,18410,50466,36,732,12580,12250,640,48,11940,97,2333.33,23806,1
7593962,1996,PLYMOUTH,Y,21,47,177,7,5,8841,8902,99,645,11690,11800,600,54,11090,94,3916.67,32020,1
7606580,1997,CHEVY,N,2,15,75,,2,1854,6785,27,625,16995,17000,0,60,16995,100,2512,24186,1
7611940,1995,TOYOTA,N,3,15,124,11,2,1516,2800,54,663,15811.7,12375,1000,54,10111.7,82,2583.33,42645,1
7623508,0,,Y,3,16,74,7,6,4835,5401,90,633,5999.62,0,1000,60,4999.62,83,2000,0,0
7626097,1997,FORD,N,0,9,32,5,4,4091,1701,241,651,20300,19000,1300,60,19000,100,2875,43360,1
7642873,1995,GMC,N,0,24,140,3,2,12106,14792,82,697,18993,17100,0,60,18993,111,4166.67,68000,1
7687910,2000,DODGE,N,0,11,123,8,5,12224,9500,129,708,17787.25,16750,13250,24,4537.25,27,2100,0,0
7720362,2000,CHEV,N,1,9,70,2,1,789,1486,53,661,21265,20466,5500,60,15765,77,12500,1,0
7747352,1998,DODGE,N,,,,,,,,0,,17200,16600,5200,54,12000,72,5000,44654,1
7756742,2000,CHEV,N,3,15,257,6,5,4305,16225,27,709,16026.21,16000,1226.21,66,14800,93,4300,0,0
7781914,2000,FORD,N,3,16,123,6,3,6510,8800,74,678,20200,22870,0,63,20200,88,6450,1,0
7791169,1999,KIA,N,5,29,153,10,5,2203,4338,51,671,9681.7,11000,0,60,9681.7,88,3674.66,100,1
7804917,2000,SATURN,N,2,8,105,4,3,4242,4750,89,644,17765,16985,0,60,16365,96,2875,1,0
7824024,2000,HONDA,N,1,9,93,4,2,861,1007,86,689,15986.93,15045,2000,66,13986.93,93,2400,25,0
7850511,1994,JEEP,N,1,27,167,13,12,11950,58707,20,649,13918,15000,4000,48,9918,66,1500,70000,1
7946678,1996,CHEVY,N,0,7,21,6,2,372,1334,28,652,8200,8200,0,48,8200,100,3416.66,62,1
7952313,2000,FORD,N,0,13,194,2,1,564,14000,4,795,35013,34579,24500,60,5000,14,0,1,0
7959587,1999,CHEVY,N,5,14,185,6,3,1089,7814,14,711,17415,18950,915,60,16500,87,3541.67,52000,1
7969323,1997,SATURN,N,8,18,229,8,5,3313,5653,59,618,11708,11500,0,54,11708,102,2900,43000,1
8048329,2000,VOLKSWAGEN,N,2,27,268,10,5,8274,44476,19,654,19575,19575,0,60,19575,100,5200,1,0
8061649,1996,CHEVY,N,0,10,59,4,1,1415,19500,7,748,19081,18000,800,60,18281,102,2916.67,30000,1
8116320,1999,GMC,N,3,23,224,9,5,7282,10939,67,669,42500,34088,6500,60,34000,100,17833.33,1,0
8136261,1995,CHEVROLET,N,5,16,153,,1,0,1000,0,695,19629,18700,1000,54,17129,92,0,70000,1
8180261,1996,CHRY,N,1,6,147,4,2,353,1213,29,686,16800,17000,2000,60,14800,87,2711,37000,1
8217351,1999,FORD,N,1,7,62,5,3,1180,4331,27,690,26849.52,26900,0,60,26165.16,97,5000,29758,1
8219076,2000,VW,N,1,21,176,6,3,10538,38974,27,675,22850,21725,0,60,22850,105,4000,36,0
8225924,1998,DODGE,N,0,15,139,3,2,294,17400,2,782,16900,16375,1000,60,17157,105,3880,31000,1
8229327,1999,CHEVROLET,N,23,28,103,5,2,23273,18000,129,685,41330,41330,6130,48,35200,85,7625,10,1
8233886,1995,JEEP,N,0,8,49,5,2,4485,5244,86,617,14000,17000,0,48,15900,94,1800,82000,1
8258358,2000,FORD,N,0,6,59,2,1,995,20800,5,757,34938,34660,11302,60,23636,68,4500,1,0
8292784,1999,CHEVY,N,3,26,139,7,3,3805,29258,13,644,23750,20650,3750,60,22760,110,6000,16000,1
8308324,1998,HYUNDAI,N,4,13,123,5,2,1350,2500,54,659,10998,9250,1998,60,9000,97,3235,21506,1
8316147,2000,RANGER,N,3,6,151,,,9998,0,0,594,19200,19815,2000,60,17200,87,1333.33,1,0
8342762,1993,CHEVY,,0,0,2,,1,55,350,16,,5379.31,5900,0,60,5379.31,91,1467.18,62887,1
8368873,1995,TOYOTA,N,2,12,71,5,1,677,2833,24,627,17943,17000,500,48,17113,101,1800,69106,1
8383436,1993,VOLVO,N,6,11,190,2,1,1558,2900,54,649,14024.32,12450,2000,42,12024.32,97,6956.67,61039,1
8386052,1997,PONTIAC,Y,7,16,128,5,2,1455,2800,52,655,10594,10800,0,60,10800,100,1500,26466,1
8392734,1998,FORD,N,2,16,48,14,8,14886,16486,90,618,30640.85,31000,0,60,30640.85,99,1083.33,42000,1
8410859,1998,CHEVY,N,,,,,,,,0,647,11694,10775,1500,60,10194,95,2925,35013,1
8417621,1996,FORD,N,0,2,9,,2,4004,7499,53,607,11000,10950,1500,48,9500,87,2400,57670,1
8437175,1996,CHEV,N,0,13,52,9,4,4497,4144,109,645,6950,6525,0,54,6300,97,1050,65155,1
8442671,1995,PLYMOUTH,N,5,19,45,8,2,570,1400,41,674,14995,9600,5495,48,10500,109,2083.33,68484,1
8479980,1998,MERCURY,N,0,11,112,2,0,0,400,0,713,13595,12850,0,66,13595,106,1800,20878,1
8539058,2000,CHEV,N,0,2,16,3,2,261,2572,10,693,19936,17215,1000,60,18936,110,1666.67,2,0
8540588,1994,DODGE,N,0,16,251,4,3,561,25511,2,748,5835,4900,0,48,5835,119,4166.67,45142,1
8543772,1999,MERC,Y,8,23,174,7,5,4903,7345,67,657,17650,14500,3150,60,14500,100,5000,17635,1
8564678,1996,CHEVY,N,2,27,129,10,5,16619,20296,82,612,11995,7500,3495,60,7500,100,5500,54,1
8566118,2000,TOYOTA,N,1,3,36,,,,,0,646,25400,25439,0,60,25400,100,5310,56,0
8580262,1999,OLDS,N,0,2,28,,,9998,9998,100,726,19592.76,20353,0,66,18342.76,90,5000,8,0
8606742,1997,MAZDA,N,0,6,31,4,3,1051,5700,18,720,14500,12975,2000,60,11500,89,1800,55331,1
8685386,1998,CHEVY,N,0,9,75,6,4,2862,16119,18,732,13311,13000,1500,60,11811,91,2583.33,25000,1
8743305,1994,OLDSMOBILE,N,2,8,110,5,3,2832,7920,36,735,14821,12525,0,48,14821,118,2100,49758,1
8782025,1997,JEEP,N,1,3,38,,,,,0,608,23329,21550,2000,54,21329,99,3250,24100,1
8830324,1996,JEEP,N,1,18,206,5,3,7607,20753,37,681,17222,19475,3000,60,13722,70,7500,75000,1
8892314,0,,N,3,20,541,7,4,6421,21694,30,655,5000,0,0,60,5000,100,4000,0,0
8894689,2000,TOYOTA,N,0,21,260,6,4,15060,39033,39,735,19595,22217,0,51,19595,88,2500,1,0
8901662,1999,PONT,N,0,39,173,7,4,19094,43705,44,722,15020,12975,0,66,15020,116,2860,20681,1
8945583,1993,PONT,N,0,11,197,6,3,3313,38730,9,781,9195,8000,0,54,7995,100,2500,70,1
8956386,0,,N,4,14,128,4,1,2432,2500,97,633,3700,0,0,24,3700,100,866.66,0,0
8963304,2000,NISSAN,N,1,7,90,2,1,223,500,45,666,18706,19675,2400,36,16306,83,0,1,0
9077277,1997,PONTIAC,N,8,13,143,4,2,949,271,350,699,19254.7,18000,100,60,19154.7,106,9083.33,34000,1
9103282,1998,FORD,N,0,43,192,,8,28222,60802,46,670,13724,11000,924,60,12100,110,1900,30936,1
9130627,1999,FORD,N,0,14,100,6,3,13353,15500,86,617,18500,15100,3500,48,16500,109,2650,14000,1
9213125,0,,N,2,6,70,,,9998,9998,100,644,6316.94,0,1816.94,60,4500,71,1800,0,0
9221908,1999,SUZUKI,N,0,7,16,6,4,5293,5535,96,664,15700,15725,0,60,15700,100,4300,18000,1
9262385,2000,FORD,N,0,11,67,3,2,1323,8408,16,758,26731,22505,1500,72,25231,112,2316.67,1,0
9291723,1998,DODGE,N,0,2,13,,2,687,1288,53,754,10650,8500,1000,60,9650,114,3200,40340,1
9292348,1996,TOYOTA,N,0,14,108,,8,14414,18797,77,624,13418,12500,0,48,11018,88,2800,64000,1
9333704,1998,FORD,N,2,3,23,2,1,131,364,36,602,16866,16866,3000,60,13866,82,1516.66,27000,1
9350344,1999,MAZDA,N,1,10,52,9,7,4826,5169,93,768,12180.63,12175,1000,60,11180.63,92,4966.67,6886,1
9362133,1993,MAZDA,N,3,17,97,5,4,2037,10716,19,669,11929,9100,0,36,9000,99,1505,64135,1
9370215,2000,DODGE,Y,4,17,148,,3,5504,5435,101,689,21250,22770,457,63,19293,85,2489.99,1,0
9384474,2000,MERCURY,N,1,7,109,4,2,857,1500,57,695,21134,20370,500,72,19870,98,1800,1,0
9391111,2000,TOYOTA,N,0,2,142,,,9998,9998,100,,34233,34233,0,72,31271.41,91,5916.66,200,0
9429621,0,,N,12,34,127,5,2,605,1520,40,617,18495,14900,4495,60,14000,94,9583.34,0,0
9436731,1997,FORD,N,12,17,159,,,,,0,665,17163.25,17450,1000,60,12163.25,70,1600,60000,1
9440380,2000,FORD,N,1,4,151,,,,,0,657,15539,14500,500,60,14039,97,3333.33,1,0
9483119,2000,VOLVO,Y,13,26,357,2,1,2229,2428,92,668,38079.5,37575,10000,60,28079.5,75,12166.67,1,0
9496413,1997,PLYMOUTH,N,3,21,207,8,4,1430,24800,6,722,10784.7,9950,0,60,10784.7,108,3460,74495,1
9558475,1996,PLYMOUTH,N,0,7,40,11,6,4249,5450,78,662,7300,7700,0,60,7300,95,1646.66,39000,1
9657441,1995,CHEVY,N,9,39,233,9,4,7751,11549,67,666,24774.99,20375,6498,54,18276.99,90,6500,34810,1
9660343,2000,HONDA,N,0,21,320,10,7,17798,43328,41,664,39300,25000,20000,60,19300,77,9166.66,1,0
9672198,1996,NISSAN,N,0,6,26,,5,2456,3942,62,619,7550,7400,550,48,6500,88,1200,36737,1
9728888,1999,BUICK,N,0,18,313,8,6,20594,32972,62,674,23400,18500,3100,66,20300,110,3095.75,1000,1
9769037,1997,CHEVY,N,1,11,45,6,4,1431,2620,55,608,14079.43,12150,1979.43,60,12100,100,6010,79000,1
9775078,1996,DODGE,N,0,11,43,9,7,20717,22200,93,662,16390,16000,1700,60,14290,89,4250,55,1
9796908,2000,DODGE,N,4,39,223,12,6,7383,12637,58,631,22000,24160,0,36,22000,91,7000,1,0
9807365,2000,MITSUBISHI,N,4,7,48,2,1,262,300,87,644,28322,28322,2359,60,25963,92,5493,1,0
9811571,2000,FORD,N,1,40,285,10,6,22838,67937,34,696,15399,16645,1000,60,14399,87,4500,1,0
9888293,0,,N,1,34,133,4,3,1390,62400,2,729,9586,9599,0,60,9586,100,4166.67,0,0
9889340,1993,FORD,N,0,6,24,,4,955,15060,6,692,5071,5125,2000,36,3071,60,1100,68745,1
9896695,2000,HONDA,N,1,8,65,4,3,1592,2150,74,660,23982.5,24965,2000,66,21982.5,88,2500,1,0
9901736,1999,SATURN,N,0,3,18,2,1,2385,11500,21,711,14750,13450,9750,60,5000,37,0,3858,1
9905656,1999,TOYOTA,N,13,36,316,6,2,10157,26200,39,648,23654,23654,0,63,23654,100,5625.33,105,1
9920826,2000,CHEVROLET,N,0,22,142,8,4,11645,12300,95,647,33956,30398,0,72,32779,108,3721,17,0
9951385,1998,FORD,N,0,6,46,,2,109,15800,1,765,10469,9975,7000,36,3469,35,4200,22942,1
9973950,1996,DODGE,N,0,25,270,6,4,8241,31386,26,747,9100,9000,0,60,6300,70,5500,29000,1
10034889,1997,FORD,Y,9,18,178,2,1,818,2800,29,683,23234,15500,4234,60,17000,110,1173,21882,1
10083764,1999,CHEVY,N,1,29,176,7,2,6425,15245,42,674,20100,22325,0,60,20100,90,14333.33,10370,1
10097021,2000,FORD,N,3,47,445,9,8,12884,86500,15,721,23001.5,25305,106,48,22895.5,90,10166.67,1,0
10114562,1998,CADILLAC,N,1,56,357,13,10,16512,75670,22,743,27600,25850,7000,66,16600,64,11041.67,19910,1
10115035,1997,PONTIAC,N,1,4,58,,0,0,363,0,714,21332,18500,0,60,19332,104,4600,28000,1
10122293,1996,FORD,N,2,5,71,,2,2306,1800,128,652,10666,9375,1778,60,8888,95,1803,35472,1
10126889,0,,N,0,9,42,5,2,170,4500,4,712,7977,0,0,60,7977,100,2400,0,0
10148411,1998,JEEP,N,1,10,90,4,2,3184,22767,14,730,26163.42,20025,4163.42,60,22000,110,6200,18533,1
10158094,1996,DODGE,N,0,18,167,10,7,4618,15416,30,705,16754,16000,0,60,16754,105,4416.67,22000,1
