"Goods","Num","Percent"
"保管产品",82,0.00189083865612101
"火鸡",80,0.00184472064011806
"即食食品",79,0.00182166163211659
"开胃酒",78,0.00179860262411511
"白饭",75,0.00172942560011068
"速溶咖啡",73,0.00168330758410773
"爆米花",71,0.00163718956810478
"面包干",68,0.00156801254410035
"汤类",67,0.00154495353609888
"成品",64,0.00147577651209445
"醋",64,0.00147577651209445
"女性卫生用品",60,0.00138354048008855
"厨房毛巾",59,0.00136048147208707
"牙齿保健用品",57,0.00131436345608412
"谷物",56,0.00129130444808264
"起泡酒",55,0.00126824544008117
"酱油",54,0.00124518643207969
"柔软剂",54,0.00124518643207969
"果酱",53,0.00122212742407822
"香辛料",51,0.00117600940807526
"干面包",50,0.00115295040007379
"凝乳酪",50,0.00115295040007379
"清洁工具",50,0.00115295040007379
"男性化妆品",45,0.00103765536006641
"朗姆酒",44,0.00101459635206493
"番茄酱",42,0.000968478336061983
"肉泥",42,0.000968478336061983
"白兰地",41,0.000945419328060507
"电灯泡",41,0.000945419328060507
"茶",38,0.00087624230405608
"特色油脂",36,0.000830124288053128
"腐蚀性清洁剂",35,0.000807065280051652
"皮肤护理用品",35,0.000807065280051652
"坚果/李子",33,0.000760947264048701
"罐装水果",32,0.000737888256047225
"糖水",32,0.000737888256047225
"甜味剂",32,0.000737888256047225
"坚果小吃",31,0.000714829248045749
"小吃类食品",30,0.000691770240044273
"鱼",29,0.000668711232042798
"马铃薯产品",28,0.000645652224041322
"炊具",27,0.000622593216039846
"浴室清洁剂",27,0.000622593216039846
"肥皂",26,0.00059953420803837
"烹饪巧克力",25,0.000576475200036894
"布丁粉",23,0.000530357184033943
"小食",23,0.000530357184033943
"可可饮料",22,0.000507298176032467
"有机香肠",22,0.000507298176032467
"普罗赛克葡萄酒",20,0.000461180160029516
"花土/肥料",19,0.00043812115202804
"即食汤",18,0.000415062144026564
"特色蔬菜",17,0.000392003136025088
"有机蔬菜",16,0.000368944128023612
"蜜糖",15,0.000345885120022137
"脱钙液",15,0.000345885120022137
"奶油",13,0.000299767104019185
"冷冻水果",12,0.000276708096017709
"发胶",11,0.000253649088016234
"医用酒精",10,0.000230590080014758
"甜味烈酒调和剂",9,0.000207531072013282
"沙拉酱",8,0.000184472064011806
"威士忌酒",8,0.000184472064011806
"卸妆液",8,0.000184472064011806
"马桶清洁剂",7,0.00016141305601033
"冷冻鸡肉",6,0.000138354048008855
"婴儿化妆品",6,0.000138354048008855
"包装袋",4,9.22360320059031e-05
"厨房用具",4,9.22360320059031e-05
"防腐用品",2,4.61180160029516e-05
"唱片",1,2.30590080014758e-05
"婴儿食品",1,2.30590080014758e-05
