subscriberID,churn,gender,AGE,edu_class,incomeCode,duration,feton,peakMinAv,peakMinDiff,posTrend,negTrend,nrProm,prom,curPlan,avgplan,planChange,posPlanChange,negPlanChange,call_10000
71226698,0,0,20,1,36,13,1,344.666667,-91,0,1,3,1,4,4,0,0,0,0
71228373,0,1,69,1,26,15,1,300,-269,0,1,0,0,3,3,0,0,0,0
71233606,1,1,16,2,46,13,0,156,29,1,0,0,0,1,1,0,0,0,1
71233904,1,1,14,0,11,3,0,316,-217,0,1,0,0,3,3,0,0,0,1
71246504,1,0,46,1,20,11,0,283.333333,15,1,0,0,0,3,3,0,0,0,1
71251332,1,0,12,0,31,4,0,169,-320,0,1,0,0,3,3,0,0,0,0
71307343,0,0,41,2,48,12,1,345.666667,-26,0,1,0,0,3,3,0,0,0,0
71315805,0,0,17,0,48,12,1,275.333333,458,1,0,0,0,3,3,0,0,0,0
71322234,1,1,44,0,18,11,1,362.333333,-93,0,1,0,0,3,3,0,0,0,0
71335781,0,0,31,2,21,42,1,396,62,1,0,3,1,3,3,0,0,0,1
71335849,0,0,35,0,5,6,1,300.666667,37,1,0,0,0,3,3,0,0,0,0
71344162,1,1,41,1,16,9,0,184,-167,0,1,3,1,3,3,0,0,0,1
71352002,1,0,38,0,8,11,1,44.666667,-71,0,1,0,0,3,3,0,0,0,0
71354382,0,1,22,1,11,13,1,187.666667,54,1,0,3,1,3,3,0,0,0,1
71359360,1,1,47,3,2,9,0,269.666667,-103,0,1,0,0,3,3,0,0,0,0
71361917,1,1,19,3,4,5,1,40.333333,-121,0,1,0,0,3,3,0,0,0,0
71366663,0,0,25,1,29,11,1,115.666667,56,1,0,0,0,3,3,0,0,0,0
71377203,1,0,24,2,22,14,0,135.666667,111,1,0,0,0,3,3,0,0,0,0
71388503,0,0,17,1,51,7,1,279.333333,31,1,0,0,0,3,3,0,0,0,1
71407817,1,0,38,1,46,2,1,178,-14,0,1,0,0,3,3,0,0,0,0
71410408,1,1,31,0,8,10,1,269.666667,-122,0,1,3,1,3,3,0,0,0,1
71411660,1,1,18,0,50,9,1,341.333333,-550,0,1,0,0,3,3,0,0,0,0
71412363,1,1,21,0,13,3,0,142.333333,3,1,0,0,0,1,1,0,0,0,0
71414059,1,1,14,0,6,2,1,177.666667,-272,0,1,3,1,4,4,0,0,0,1
71414792,0,0,53,0,37,8,1,335.333333,-32,0,1,0,0,3,3,0,0,0,1
71420241,0,0,24,1,12,7,1,109.333333,64,1,0,0,0,3,3,0,0,0,0
71434855,1,0,14,3,14,3,1,399.666667,140,1,0,3,1,3,3,0,0,0,0
71459504,0,0,32,0,23,5,0,309,164,1,0,0,0,3,3,0,0,0,1
71460766,0,1,19,0,12,22,1,61,70,1,0,0,0,1,1,0,0,0,0
71464010,1,1,53,0,47,5,1,163.666667,150,1,0,0,0,3,3,0,0,0,1
71467626,0,0,67,0,58,21,1,123,-73,0,1,3,1,1,1,0,0,0,1
71470373,1,0,15,0,13,3,1,315.333333,-5,0,1,0,0,3,3,0,0,0,1
71472089,1,0,31,3,46,5,0,17.333333,-18,0,1,0,0,3,3,0,0,0,0
71479457,0,1,40,0,22,7,1,183.666667,-28,0,1,3,1,3,3,0,0,0,1
71481939,0,0,27,0,10,17,1,296.333333,29,1,0,3,1,3,3,0,0,0,1
71496644,1,1,16,1,12,14,0,285.333333,-280,0,1,0,0,1,1,0,0,0,1
71500057,1,1,14,0,11,3,0,356.333333,2,1,0,0,0,3,3,0,0,0,1
71501698,1,0,35,1,25,3,1,182,-73,0,1,0,0,1,1,0,0,0,0
71513951,1,1,47,0,5,3,0,428.333333,-237,0,1,1,1,3,3,0,0,0,1
71515245,1,0,31,0,40,7,0,318.666667,-12,0,1,0,0,3,3,0,0,0,1
71515716,1,0,22,0,46,8,0,89.666667,60,1,0,0,0,3,3,0,0,0,0
71518508,1,1,18,2,10,8,0,353.666667,-10,0,1,0,0,3,3,0,0,0,0
71519033,0,0,11,1,49,28,1,242,-24,0,1,0,0,2,2,0,0,0,0
71524385,0,1,19,0,33,6,1,88,-36,0,1,0,0,1,1,0,0,0,0
71526098,0,1,27,0,15,18,1,40,-30,0,1,3,1,1,1,0,0,0,1
71540781,0,1,25,2,21,8,1,187.666667,71,1,0,0,0,3,3,0,0,0,1
71540933,0,1,15,0,48,34,1,206,59,1,0,0,0,2,2,0,0,0,1
71541189,0,1,15,1,53,12,0,193,-119,0,1,0,0,3,3,0,0,0,0
71547104,0,1,40,0,46,26,1,291,129,1,0,0,0,3,3,0,0,0,1
71553937,0,0,51,0,11,24,1,519,286,1,0,1,1,3,3,0,0,0,1
71556773,1,0,25,0,35,2,0,303.666667,-56,0,1,0,0,3,3,0,0,0,0
71556789,1,1,14,2,41,3,1,381.666667,-237,0,1,0,0,3,3,0,0,0,0
71560836,1,1,53,2,51,4,0,618,70,1,0,3,1,3,3,0,0,0,1
71563905,0,1,32,0,53,6,1,69,-37,0,1,3,1,1,1,0,0,0,0
71564493,1,1,40,0,9,4,0,99.333333,10,1,0,0,0,3,3,0,0,0,1
71564685,0,0,43,1,2,8,1,260,155,1,0,0,0,3,3,0,0,0,1
71569332,1,0,33,2,25,9,1,43.666667,-21,0,1,0,0,3,3,0,0,0,1
71569807,1,0,25,3,31,6,1,1269.333333,692,1,0,0,0,4,2,3,1,0,0
71574126,0,0,45,3,26,11,1,361.333333,70,1,0,0,0,3,3,0,0,0,0
71575599,0,1,49,2,11,15,1,81.333333,43,1,0,0,0,3,3,0,0,0,1
71577706,0,0,19,1,29,12,1,244.333333,66,1,0,0,0,2,2,0,0,0,1
71578629,0,0,27,0,2,11,0,477.666667,129,1,0,0,0,4,4,0,0,0,1
71600101,0,0,34,0,32,8,1,68,-77,0,1,0,0,3,3,0,0,0,0
71608016,1,1,30,1,12,6,0,142.666667,-192,0,1,3,1,1,1,0,0,0,1
71611068,0,0,39,2,38,30,0,199.666667,37,1,0,0,0,3,3,0,0,0,1
71616287,1,0,34,3,8,5,0,204.666667,-174,0,1,0,0,3,3,0,0,0,1
71624873,1,1,19,2,38,12,0,728.666667,511,1,0,1,1,3,3,0,0,0,0
71626150,0,1,58,1,12,34,1,271.666667,50,1,0,0,0,4,4,0,0,0,0
71635654,0,0,26,1,15,21,1,256.333333,-3,0,1,0,0,3,3,0,0,0,1
71636811,1,1,45,1,8,15,1,381,-176,0,1,0,0,3,3,0,0,0,0
71638603,1,0,29,2,50,6,0,560,340,1,0,0,0,3,3,0,0,0,1
71640406,1,1,27,0,38,2,1,257.333333,208,1,0,0,0,1,1,0,0,0,0
71642386,0,1,18,0,58,7,1,113,45,1,0,0,0,2,2,0,0,0,0
71645956,0,1,34,1,25,20,1,166.333333,-11,0,1,0,0,3,3,0,0,0,1
71646310,0,0,50,0,3,8,0,201.333333,27,1,0,0,0,2,2,0,0,0,1
71647277,1,0,16,0,38,2,0,134.333333,-263,0,1,0,0,3,3,0,0,0,0
71653706,0,0,53,1,51,24,1,23,-12,0,1,3,1,3,3,0,0,0,1
71672378,0,1,12,1,36,28,1,239.666667,152,1,0,3,1,3,3,0,0,0,1
71673654,1,1,37,0,62,11,0,95.666667,-13,0,1,0,0,3,3,0,0,0,0
71676336,1,0,11,2,41,16,0,118.333333,-126,0,1,0,0,3,3,0,0,0,0
71680947,0,1,16,0,18,17,0,497.666667,44,1,0,0,0,4,4,0,0,0,1
71681395,1,1,23,1,45,2,0,5,-15,0,1,3,1,3,3,0,0,0,1
71685887,0,1,38,2,29,10,1,33.666667,-68,0,1,0,0,3,3,0,0,0,1
71686678,0,0,38,1,29,12,1,30.666667,-30,0,1,0,0,3,3,0,0,0,1
71687186,1,1,16,0,35,4,0,211.666667,-377,0,1,2,1,3,3,0,0,0,1
71695344,0,1,20,2,17,46,1,228,190,1,0,3,1,2,2,0,0,0,1
71701150,1,1,23,1,31,5,1,9,5,1,0,0,0,3,3,0,0,0,0
71724273,1,1,13,0,59,15,1,277.333333,-59,0,1,0,0,3,3,0,0,0,0
71724578,0,0,30,2,25,23,1,147,90,1,0,0,0,2,2,0,0,0,0
71725486,1,1,28,1,2,3,1,105,-41,0,1,0,0,3,3,0,0,0,0
71726607,0,1,33,1,14,12,1,280.666667,-40,0,1,0,0,2,2,0,0,0,1
71740348,0,0,38,0,19,8,1,375.666667,-127,0,1,0,0,3,3,0,0,0,1
71760676,1,0,57,1,42,3,0,51.333333,22,1,0,0,0,3,3,0,0,0,1
71770867,1,1,27,0,17,4,1,151.333333,-269,0,1,0,0,1,1,0,0,0,0
71775871,1,0,39,0,48,3,0,105,-51,0,1,0,0,1,1,0,0,0,1
71777655,0,0,54,2,2,49,1,23,29,1,0,0,0,1,1,0,0,0,1
71793145,1,0,17,1,60,8,0,478.5,111,1,0,0,0,3,3,0,0,0,0
71798199,1,0,19,3,61,19,1,106,-277,0,1,3,1,3,3,0,0,0,1
71803284,1,1,40,2,9,9,0,365.666667,-10,0,1,0,0,3,3,0,0,0,0
71808073,0,0,61,2,27,31,1,179,114,1,0,0,0,2,2,0,0,0,1
71815330,1,1,32,1,3,13,1,218.666667,-2,0,1,0,0,1,1,0,0,0,1
71817183,0,0,42,2,20,28,0,87,26,1,0,0,0,3,3,0,0,0,0
71817318,0,0,42,0,20,21,1,180.333333,-13,0,1,0,0,3,3,0,0,0,1
71823759,0,1,25,0,5,24,1,116.333333,-45,0,1,0,0,1,1,0,0,0,0
71826333,1,1,25,1,48,5,0,144.666667,-121,0,1,0,0,3,3,0,0,0,1
71826744,1,0,30,0,33,10,0,745.666667,868,1,0,0,0,3,3,0,0,0,1
71833604,0,0,14,2,2,16,1,408.666667,40,1,0,3,1,3,3,0,0,0,1
71833691,1,1,12,1,36,7,1,339,2,1,0,0,0,3,3,0,0,0,1
71834223,0,0,42,2,3,48,1,186.666667,-1,0,1,0,0,3,3,0,0,0,0
71840314,0,0,34,1,18,7,1,80.333333,-13,0,1,0,0,1,1,0,0,0,0
71845846,0,1,38,0,54,10,0,56.333333,-7,0,1,3,1,1,1,0,0,0,1
71858227,1,1,24,2,33,17,0,131.333333,-133,0,1,0,0,3,3,0,0,0,0
71868287,0,0,41,0,55,32,1,151.333333,27,1,0,0,0,3,3,0,0,0,0
71873558,0,1,30,0,53,33,0,183.333333,-76,0,1,0,0,3,3,0,0,0,0
71874844,0,1,14,1,36,7,1,259,42,1,0,0,0,2,2,0,0,0,0
71877268,0,0,29,0,5,6,0,251.666667,-223,0,1,0,0,2,2,0,0,0,0
71881846,1,1,35,0,51,3,0,306.5,79,1,0,0,0,3,3,0,0,0,1
71882219,0,1,11,1,40,36,1,184.333333,45,1,0,1,1,1,1,0,0,0,1
71896199,1,0,24,1,47,3,0,0,0,0,0,1,1,3,3,0,0,0,1
71899349,0,0,30,0,15,12,1,151.666667,-13,0,1,3,1,3,3,0,0,0,1
71900187,0,0,27,2,8,36,0,276,134,1,0,1,1,3,3,0,0,0,1
71903742,0,0,37,0,18,15,0,328,28,1,0,0,0,3,3,0,0,0,1
71905842,0,1,33,2,49,29,1,322.333333,-33,0,1,0,0,3,3,0,0,0,1
71909791,1,0,16,1,23,8,0,148.333333,-165,0,1,0,0,3,3,0,0,0,0
71911070,1,0,17,0,33,8,0,223.333333,-156,0,1,3,1,1,1,0,0,0,1
71911905,0,0,18,3,8,9,0,126.666667,226,1,0,0,0,1,1,0,0,0,1
71914011,1,0,34,0,41,2,1,65,-128,0,1,0,0,3,3,0,0,0,0
71922161,1,0,26,0,24,4,0,145,205,1,0,0,0,1,1,0,0,0,1
71922402,1,1,12,0,59,8,0,22.333333,-32,0,1,1,1,1,1,0,0,0,1
71924220,0,0,18,0,6,14,0,12.333333,-13,0,1,0,0,3,3,0,0,0,0
71933213,0,0,26,1,49,33,0,198.666667,-80,0,1,0,0,3,3,0,0,0,0
71933845,1,1,45,1,32,10,0,210.666667,-102,0,1,0,0,1,1,0,0,0,0
71939404,1,0,18,2,31,14,0,395,-363,0,1,0,0,3,3,0,0,0,1
71940139,0,0,28,0,43,26,1,187,16,1,0,0,0,3,3,0,0,0,1
71946523,1,0,43,0,20,3,0,185.5,-291,0,1,0,0,1,1,0,0,0,1
71955308,0,1,53,1,1,7,1,153,89,1,0,0,0,1,1,0,0,0,1
71955936,1,1,26,1,37,7,0,456.666667,-255,0,1,0,0,3,3,0,0,0,0
71958101,0,1,42,2,5,10,1,172,100,1,0,0,0,3,3,0,0,0,0
71959429,0,1,17,2,38,58,0,250,310,1,0,0,0,3,3,0,0,0,1
71960705,0,0,26,1,12,9,0,422.333333,-408,0,1,0,0,4,4,0,0,0,1
71963496,1,0,32,1,39,8,0,321.666667,113,1,0,0,0,3,3,0,0,0,1
71964935,1,1,25,1,5,6,0,162,-235,0,1,0,0,1,1,0,0,0,1
71966288,1,1,14,3,32,5,1,227.333333,43,1,0,0,0,3,3,0,0,0,1
71973035,1,0,14,0,56,9,1,0,0,0,0,0,0,4,4,0,0,0,0
71973255,1,1,39,1,34,4,0,129,-122,0,1,0,0,3,3,0,0,0,1
71977133,0,0,33,1,46,16,1,191.333333,11,1,0,0,0,3,3,0,0,0,1
71980041,0,1,22,1,22,11,1,23.333333,-70,0,1,3,1,3,3,0,0,0,1
71990840,1,0,18,1,47,10,0,131.333333,-394,0,1,0,0,3,3,0,0,0,1
71995721,1,1,46,0,15,2,1,17,-51,0,1,0,0,3,3,0,0,0,0
71998353,0,0,45,2,15,10,1,10,8,1,0,0,0,1,1,0,0,0,0
71998882,1,1,39,0,25,2,0,154.5,-309,0,1,0,0,3,3,0,0,0,1
72001711,0,0,51,0,10,15,1,524.333333,-367,0,1,0,0,3,3,0,0,0,1
72012205,1,0,16,0,12,6,1,581,166,1,0,3,1,3,3,0,0,0,0
72015148,0,0,20,2,12,14,1,485,460,1,0,0,0,3,3,0,0,0,1
72015954,0,0,20,1,40,36,1,189.666667,-25,0,1,0,0,3,3,0,0,0,1
72019112,1,1,41,1,48,4,0,137.333333,59,1,0,0,0,3,3,0,0,0,1
72021192,1,1,18,1,15,5,1,420,175,1,0,0,0,4,4,0,0,0,0
72027406,1,0,32,1,59,11,0,44,-48,0,1,0,0,1,1,0,0,0,1
72029478,0,1,24,0,27,8,1,108.333333,-16,0,1,0,0,1,1,0,0,0,1
72030973,0,0,18,1,10,17,1,131.333333,-160,0,1,3,1,1,1,0,0,0,0
72039087,0,0,36,0,36,5,0,236,-43,0,1,0,0,3,3,0,0,0,1
72040517,1,1,18,2,44,9,1,209.333333,250,1,0,0,0,3,3,0,0,0,0
72048038,0,1,53,2,19,27,1,348.333333,102,1,0,0,0,3,3,0,0,0,1
72058046,1,1,18,0,9,4,0,178.666667,12,1,0,0,0,3,3,0,0,0,0
72067159,1,1,25,0,48,3,0,294.666667,-583,0,1,0,0,3,3,0,0,0,0
72069428,1,0,24,2,43,7,0,74,26,1,0,0,0,1,1,0,0,0,1
72071165,0,1,42,3,15,17,1,162.333333,-15,0,1,0,0,2,2,0,0,0,1
72072101,1,0,46,0,15,7,1,138.666667,-136,0,1,0,0,3,3,0,0,0,1
72077929,1,1,21,0,56,11,1,0,0,0,0,3,1,3,3,0,0,0,0
72087324,0,0,22,0,23,5,1,375.666667,14,1,0,0,0,3,3,0,0,0,0
72090934,1,0,12,0,2,6,0,153.333333,-460,0,1,0,0,3,3,0,0,0,0
72098770,1,0,56,0,8,12,1,50.333333,10,1,0,0,0,1,1,0,0,0,0
72099469,1,1,56,2,8,6,0,107.333333,109,1,0,0,0,1,1,0,0,0,0
72107616,0,0,27,1,3,31,1,66,-67,0,1,0,0,3,3,0,0,0,0
72110537,1,1,44,1,30,6,0,0,0,0,0,0,0,4,4,0,0,0,1
72120019,0,1,37,1,20,29,0,399.333333,492,1,0,0,0,3,3,0,0,0,0
72122954,1,1,18,2,36,7,0,157,-22,0,1,0,0,1,1,0,0,0,1
72123255,0,0,15,1,33,21,0,184.333333,-52,0,1,0,0,2,2,0,0,0,1
72128153,0,1,38,1,37,11,1,204.333333,94,1,0,0,0,3,3,0,0,0,1
72132948,1,1,34,0,1,11,0,85.333333,47,1,0,0,0,1,1,0,0,0,0
72134819,0,0,19,3,10,27,1,240,-2,0,1,0,0,3,3,0,0,0,0
72143929,1,1,42,1,13,3,1,359.333333,-81,0,1,0,0,3,3,0,0,0,0
72152226,1,1,16,2,27,5,1,382.333333,-60,0,1,0,0,3,3,0,0,0,1
72162119,0,1,44,1,38,27,1,403,159,1,0,0,0,3,3,0,0,0,1
72163788,1,0,32,1,42,8,0,257.333333,-7,0,1,0,0,3,3,0,0,0,1
72165204,0,0,19,1,46,12,0,181,405,1,0,0,0,1,1,0,0,0,1
72172911,0,0,42,0,20,10,1,372.333333,122,1,0,0,0,3,3,0,0,0,0
72174210,1,0,11,1,50,5,0,181.333333,-283,0,1,2,1,3,3,0,0,0,0
72179020,0,1,51,0,26,7,1,136,179,1,0,0,0,2,2,0,0,0,1
72184883,0,0,16,2,27,8,0,327.333333,37,1,0,0,0,4,4,0,0,0,0
72193381,1,1,40,1,20,11,0,36,-16,0,1,0,0,3,3,0,0,0,1
72206679,0,0,50,0,3,8,0,44.666667,50,1,0,0,0,3,3,0,0,0,1
72208800,0,0,16,2,10,13,1,181.666667,41,1,0,0,0,3,3,0,0,0,1
72212040,1,1,51,1,11,7,0,144.333333,-103,0,1,0,0,3,3,0,0,0,1
72214333,1,1,24,0,54,2,1,72,5,1,0,0,0,1,1,0,0,0,0
72217610,0,0,47,1,33,16,1,153,-32,0,1,0,0,1,1,0,0,0,1
72218373,0,0,21,1,19,6,1,110.333333,-45,0,1,0,0,3,3,0,0,0,1
72219529,0,0,46,1,47,19,1,197.666667,-3,0,1,0,0,2,2,0,0,0,0
72224089,1,1,20,0,33,3,1,550.666667,125,1,0,0,0,4,4,0,0,0,1
72224145,1,1,20,1,24,5,0,448.166667,199.5,1,0,0,0,3,3,0,0,0,0
72235429,0,0,16,0,20,9,0,229.666667,-172,0,1,0,0,3,3,0,0,0,1
72256491,0,1,44,3,16,31,1,51.333333,-5,0,1,3,1,1,1,0,0,0,1
72259825,1,0,33,0,51,7,1,112.333333,96,1,0,3,1,1,1,0,0,0,0
72259869,1,1,33,0,51,10,0,74.333333,17,1,0,3,1,1,1,0,0,0,1
72260092,0,0,39,0,35,6,0,31.666667,-28,0,1,0,0,1,1,0,0,0,1
72260484,1,1,39,1,43,9,0,202.333333,42,1,0,3,1,1,1,0,0,0,1
72267453,1,0,25,1,12,5,0,159.666667,-63,0,1,3,1,1,1,0,0,0,0
72272579,0,0,36,2,60,25,0,23.333333,11,1,0,3,1,1,1,0,0,0,0
72272606,0,0,36,1,60,7,0,61.666667,10,1,0,3,1,1,1,0,0,0,1
72277558,1,1,19,1,48,3,1,121.666667,-301,0,1,1,1,3,3,0,0,0,1
72278511,0,0,27,1,39,30,0,50,-1,0,1,3,1,1,1,0,0,0,1
72279989,1,0,34,0,39,3,0,85,3,1,0,1,1,1,1,0,0,0,1
72284390,0,0,48,0,15,27,0,217.333333,-111,0,1,0,0,2,2,0,0,0,1
72287181,1,0,30,1,37,14,0,177,-63,0,1,3,1,1,1,0,0,0,1
72304789,0,1,27,1,39,17,1,293.333333,94,1,0,3,1,1,1,0,0,0,1
72317064,1,1,33,1,15,4,1,244.333333,46,1,0,0,0,3,3,0,0,0,0
72330699,0,1,42,0,50,11,0,5.666667,-1,0,1,3,1,1,1,0,0,0,1
72347137,1,1,39,1,15,16,0,80,-221,0,1,0,0,3,3,0,0,0,0
72347511,0,1,9,0,32,18,1,134,68,1,0,0,0,1,1,0,0,0,1
72348884,1,0,13,2,36,3,0,527.333333,-82,0,1,0,0,4,4,0,0,0,1
72350626,0,1,25,1,47,24,1,176,181,1,0,0,0,3,3,0,0,0,1
72352339,1,0,18,0,15,6,0,365,-148,0,1,0,0,1,1,0,0,0,0
72354880,0,1,34,2,19,34,1,80,29,1,0,0,0,1,1,0,0,0,0
72361587,0,1,11,0,36,29,0,478.333333,-66,0,1,0,0,4,4,0,0,0,1
72365911,0,1,12,3,20,26,1,351,328,1,0,0,0,3,3,0,0,0,1
72371045,1,1,35,0,39,3,1,133.666667,-238,0,1,0,0,1,1,0,0,0,1
72374201,1,1,17,0,48,8,1,389.666667,40,1,0,3,1,3,3,0,0,0,0
72380237,1,0,21,0,24,2,0,435.666667,-127,0,1,0,0,3,3,0,0,0,1
72381860,0,1,20,1,48,11,0,240,-35,0,1,3,1,3,3,0,0,0,1
72384089,0,0,30,2,40,9,1,230,-299,0,1,0,0,2,2,0,0,0,0
72391548,0,1,34,2,9,50,1,418.333333,-139,0,1,0,0,3,3,0,0,0,0
72391866,1,1,12,2,29,20,0,284.333333,-112,0,1,0,0,3,3,-1,0,1,1
72392890,0,0,39,1,20,7,0,95,12,1,0,0,0,2,2,0,0,0,1
72393608,1,1,24,1,5,4,0,166.333333,131,1,0,0,0,3,3,0,0,0,0
72396929,0,1,36,2,20,9,1,0,0,0,0,0,0,3,3,0,0,0,0
72410656,1,0,28,0,15,6,1,390,-892,0,1,0,0,3,3,0,0,0,1
72416745,0,1,45,0,22,8,1,116.666667,79,1,0,0,0,1,1,0,0,0,1
72417090,1,1,21,1,6,14,0,57.666667,-129,0,1,0,0,3,3,0,0,0,1
72420011,1,1,22,0,17,10,1,328,-232,0,1,0,0,3,3,0,0,0,0
72424933,1,1,16,1,26,15,1,163,69,1,0,0,0,3,3,0,0,0,0
72427598,1,1,50,2,51,5,0,175.666667,124,1,0,0,0,1,1,0,0,0,0
72446132,1,1,44,1,45,4,1,86.666667,-34,0,1,0,0,3,3,0,0,0,0
72450570,0,1,12,0,40,12,1,169,-24,0,1,3,1,2,2,0,0,0,1
72459383,1,0,26,0,10,8,0,106.333333,13,1,0,0,0,3,3,0,0,0,0
72462507,0,0,43,0,1,29,0,68.333333,-63,0,1,0,0,3,3,0,0,0,0
72464986,1,1,54,0,61,7,1,135.333333,-406,0,1,2,1,3,3,0,0,0,1
72466924,1,1,15,2,24,8,1,96.333333,-100,0,1,0,0,3,3,0,0,0,1
72470109,0,0,16,1,36,23,0,147.666667,95,1,0,0,0,2,2,0,0,0,1
72471554,1,0,47,0,30,3,1,0,0,0,0,0,0,1,1,0,0,0,1
72474152,1,0,35,1,3,3,1,381.666667,81,1,0,0,0,3,3,0,0,0,0
72474464,1,1,26,2,28,7,0,66.5,-199.5,0,1,0,0,3,3,0,0,0,1
72476741,0,0,14,1,25,14,0,410.333333,-441,0,1,0,0,4,4,0,0,0,1
72489787,1,0,38,0,5,2,0,184.333333,-235,0,1,0,0,3,3,0,0,0,0
