region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callwait,forward,confer,ebill,lninc,custcat,churn
Zone 3,7,35,Unmarried,14,80.00,High school degree,15,No,Female,1,Yes,No,Yes,No,7.10,22.00,0.00,23.75,0.00,47.45,166.10,0.00,145.00,0.00,No,Yes,No,No,Yes,Yes,Yes,No,4.38,Plus service,No
Zone 1,41,38,Married,8,37.00,High school degree,9,No,Female,3,No,No,Yes,No,8.55,0.00,0.00,41.75,0.00,308.70,0.00,0.00,"1,650.00",0.00,No,No,No,No,No,No,No,No,3.61,Basic service,No
Zone 2,57,54,Married,30,115.00,College degree,23,No,Female,3,Yes,Yes,No,Yes,15.60,46.25,46.70,0.00,61.05,825.35,"2,624.25","2,590.95",0.00,"3,348.85",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.74,Total service,Yes
Zone 2,9,46,Unmarried,3,25.00,Did not complete high school,8,No,Female,2,No,No,No,No,4.40,0.00,0.00,0.00,0.00,36.80,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,3.22,Basic service,No
Zone 1,29,38,Married,12,75.00,Post-undergraduate degree,1,No,Male,4,No,Yes,Yes,No,5.10,0.00,30.25,11.25,0.00,146.25,0.00,780.80,295.00,0.00,Yes,No,No,Yes,No,No,No,No,4.32,E-service,No
Zone 3,60,57,Unmarried,38,162.00,High school degree,30,No,Male,1,Yes,Yes,Yes,No,16.15,29.75,31.30,30.00,0.00,946.90,"1,767.60","1,788.95","1,795.00",0.00,Yes,No,No,No,Yes,Yes,Yes,No,5.09,Plus service,No
Zone 3,34,48,Unmarried,3,49.00,High school degree,6,No,Female,3,Yes,No,No,No,6.65,18.50,0.00,0.00,0.00,230.80,614.30,0.00,0.00,0.00,No,No,No,No,Yes,Yes,Yes,No,3.89,Plus service,No
Zone 2,1,24,Unmarried,3,20.00,Did not complete high school,3,No,Male,1,No,No,No,No,1.05,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,3.00,Basic service,No
Zone 1,26,29,Married,3,77.00,College degree,2,No,Male,4,No,Yes,Yes,Yes,6.70,0.00,48.10,24.25,38.30,140.95,0.00,"1,132.80",610.00,910.10,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.34,Total service,Yes
Zone 3,6,30,Unmarried,7,16.00,Some college,1,No,Female,1,No,Yes,No,Yes,3.75,0.00,33.80,0.00,18.70,25.65,0.00,175.30,0.00,78.20,Yes,No,Yes,Yes,Yes,No,No,No,2.77,E-service,Yes
Zone 1,68,52,Married,17,120.00,Did not complete high school,24,No,Male,2,No,No,Yes,No,20.70,0.00,0.00,22.00,0.00,"1,391.05",0.00,0.00,"1,505.00",0.00,No,No,No,No,No,Yes,No,No,4.79,Basic service,No
Zone 3,53,33,Unmarried,10,101.00,Post-undergraduate degree,4,No,Female,2,No,Yes,Yes,Yes,5.30,0.00,49.60,26.75,51.40,253.35,0.00,"2,499.80","1,340.00","2,645.15",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.62,Total service,No
Zone 3,55,48,Married,19,67.00,Did not complete high school,25,No,Male,3,No,No,Yes,No,15.05,0.00,0.00,27.25,0.00,810.45,0.00,0.00,"1,390.00",0.00,No,No,No,No,No,No,No,No,4.20,Basic service,No
Zone 3,14,43,Married,18,36.00,Did not complete high school,5,No,Male,5,Yes,No,Yes,No,12.50,19.75,0.00,18.00,0.00,153.75,273.75,0.00,215.00,0.00,No,No,No,No,Yes,Yes,Yes,No,3.58,Plus service,No
Zone 2,1,21,Unmarried,0,33.00,High school degree,0,No,Female,3,Yes,No,Yes,No,2.20,20.75,0.00,40.50,0.00,2.20,20.75,0.00,40.50,0.00,No,No,No,No,Yes,Yes,Yes,No,3.50,Plus service,No
Zone 2,42,40,Unmarried,7,37.00,High school degree,8,No,Female,1,Yes,Yes,Yes,Yes,8.25,23.50,36.90,28.00,37.40,399.15,950.65,"1,532.90","1,190.00","1,562.00",Yes,Yes,No,Yes,Yes,No,Yes,Yes,3.61,Total service,No
Zone 3,25,33,Married,11,31.00,Did not complete high school,5,No,Male,4,No,No,No,No,9.10,0.00,0.00,0.00,0.00,234.95,0.00,0.00,0.00,0.00,Yes,No,No,No,No,Yes,No,No,3.43,Plus service,No
Zone 1,9,21,Married,1,17.00,High school degree,2,No,Female,3,No,No,No,No,2.90,0.00,0.00,0.00,0.00,25.25,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,2.83,Basic service,No
Zone 2,13,33,Married,9,19.00,College degree,0,No,Female,2,No,Yes,No,No,5.55,0.00,27.35,0.00,0.00,75.25,0.00,330.65,0.00,0.00,Yes,No,No,Yes,No,No,Yes,Yes,2.94,E-service,No
Zone 1,56,37,Married,6,36.00,Did not complete high school,13,No,Female,2,No,Yes,Yes,No,10.60,0.00,31.10,18.25,0.00,582.60,0.00,"1,756.35","1,005.00",0.00,Yes,No,No,Yes,No,No,No,Yes,3.58,E-service,No
Zone 1,71,53,Married,27,155.00,Post-undergraduate degree,12,No,Male,2,Yes,No,Yes,Yes,21.00,56.00,0.00,34.00,49.95,"1,519.20","4,064.30",0.00,"2,345.00","3,646.90",Yes,Yes,No,Yes,No,Yes,Yes,Yes,5.04,Total service,No
Zone 1,35,50,Married,26,140.00,High school degree,21,No,Female,4,Yes,No,Yes,No,6.50,27.50,0.00,35.00,0.00,247.55,"1,068.25",0.00,"1,215.00",0.00,No,No,No,No,Yes,Yes,Yes,No,4.94,Plus service,No
Zone 1,11,27,Married,8,55.00,Post-undergraduate degree,0,No,Male,3,No,Yes,No,No,4.80,0.00,19.55,0.00,0.00,54.10,0.00,220.40,0.00,0.00,Yes,No,No,Yes,No,No,No,No,4.01,E-service,No
Zone 2,60,46,Married,13,163.00,Some college,24,No,Male,2,Yes,Yes,Yes,Yes,33.90,38.25,44.65,13.75,55.25,"1,947.95","2,326.35","2,645.85",840.00,"3,125.95",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09,Total service,No
Zone 3,20,35,Married,11,52.00,College degree,0,No,Male,2,No,Yes,No,No,4.25,0.00,30.55,0.00,0.00,82.70,0.00,547.15,0.00,0.00,Yes,No,No,Yes,No,No,No,Yes,3.95,E-service,Yes
Zone 2,54,60,Unmarried,38,211.00,College degree,25,No,Male,1,Yes,Yes,Yes,Yes,21.15,39.25,46.35,54.25,54.85,"1,228.70","2,102.25","2,421.30","2,785.00","2,895.85",Yes,Yes,Yes,Yes,No,No,Yes,Yes,5.35,Total service,No
Zone 1,44,57,Married,1,186.00,High school degree,17,No,Male,2,Yes,No,Yes,Yes,9.80,33.50,0.00,36.00,41.65,428.25,"1,379.55",0.00,"1,535.00","1,826.70",Yes,Yes,No,No,Yes,Yes,Yes,No,5.23,Plus service,No
Zone 1,11,41,Married,0,39.00,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,6.55,29.25,0.00,19.75,0.00,67.80,303.65,0.00,200.00,0.00,No,Yes,No,No,Yes,Yes,Yes,No,3.66,Plus service,Yes
Zone 2,72,57,Unmarried,34,22.00,High school degree,35,Yes,Female,1,Yes,No,Yes,No,41.75,49.00,0.00,18.75,0.00,"3,043.05","3,581.00",0.00,"1,360.00",0.00,Yes,No,No,No,Yes,Yes,Yes,No,3.09,Plus service,No
Zone 3,10,41,Unmarried,7,30.00,Did not complete high school,7,No,Male,1,Yes,No,Yes,No,2.50,19.25,0.00,53.75,0.00,31.25,178.20,0.00,490.00,0.00,No,No,No,No,Yes,Yes,Yes,No,3.40,Plus service,No
Zone 2,15,28,Unmarried,0,29.00,High school degree,4,No,Female,1,Yes,No,Yes,No,4.25,30.00,0.00,17.75,0.00,78.00,426.05,0.00,255.00,0.00,No,No,No,No,Yes,Yes,Yes,No,3.37,Plus service,No
Zone 2,27,28,Married,4,23.00,High school degree,8,No,Male,5,No,No,No,No,6.20,0.00,0.00,0.00,0.00,180.15,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,3.14,Basic service,No
Zone 1,9,36,Married,14,62.00,College degree,10,No,Male,6,No,Yes,No,Yes,5.65,0.00,46.75,0.00,48.50,43.30,0.00,386.60,0.00,364.85,Yes,Yes,Yes,Yes,No,No,Yes,Yes,4.13,Total service,Yes
Zone 1,64,43,Married,20,76.00,College degree,20,No,Female,4,Yes,No,Yes,No,14.70,18.75,0.00,11.00,0.00,897.05,"1,279.25",0.00,680.00,0.00,Yes,No,No,No,Yes,No,Yes,No,4.33,Plus service,No
Zone 1,65,41,Married,3,74.00,College degree,16,No,Male,2,No,Yes,Yes,No,14.50,0.00,37.00,17.00,0.00,963.30,0.00,"2,263.05","1,065.00",0.00,Yes,Yes,No,Yes,No,No,No,Yes,4.30,E-service,No
Zone 1,49,51,Married,27,63.00,College degree,19,No,Male,5,Yes,No,Yes,No,12.85,25.75,0.00,14.25,0.00,585.60,"1,278.45",0.00,635.00,0.00,Yes,No,No,Yes,Yes,No,No,Yes,4.14,E-service,No
Zone 3,47,41,Married,0,36.00,College degree,8,No,Male,2,No,Yes,Yes,Yes,7.75,0.00,37.45,18.50,38.80,361.00,0.00,"1,717.75",845.00,"1,730.40",Yes,No,Yes,Yes,Yes,No,Yes,Yes,3.58,Total service,Yes
Zone 3,9,34,Married,9,33.00,High school degree,8,No,Female,4,No,Yes,No,No,2.95,0.00,22.95,0.00,0.00,18.90,0.00,208.55,0.00,0.00,No,No,No,No,No,No,No,No,3.50,Basic service,Yes
Zone 1,5,36,Unmarried,14,29.00,High school degree,9,No,Female,1,Yes,No,Yes,Yes,3.25,31.50,0.00,15.50,26.75,16.80,154.65,0.00,60.00,98.60,No,No,No,Yes,Yes,Yes,Yes,Yes,3.37,Plus service,Yes
Zone 2,30,34,Married,4,27.00,High school degree,1,No,Male,5,No,Yes,No,No,6.30,0.00,22.50,0.00,0.00,150.90,0.00,690.75,0.00,0.00,No,No,No,Yes,No,No,No,No,3.30,Basic service,Yes
Zone 1,56,52,Married,28,49.00,High school degree,12,No,Male,4,No,No,Yes,No,24.75,0.00,0.00,22.25,0.00,"1,349.05",0.00,0.00,"1,215.00",0.00,Yes,No,No,No,No,No,No,No,3.89,E-service,No
Zone 3,10,22,Unmarried,0,24.00,College degree,0,No,Male,1,Yes,Yes,Yes,Yes,7.80,23.75,37.25,22.50,30.05,63.00,222.55,330.40,185.00,306.30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.18,Total service,No
Zone 1,7,26,Married,3,26.00,High school degree,2,No,Male,5,Yes,No,No,No,4.85,15.50,0.00,0.00,0.00,33.70,136.55,0.00,0.00,0.00,No,No,No,No,Yes,No,No,No,3.26,Basic service,No
Zone 1,52,27,Unmarried,6,47.00,Some college,5,No,Male,2,Yes,No,Yes,No,6.25,18.50,0.00,14.25,0.00,330.40,942.65,0.00,725.00,0.00,No,No,No,No,No,No,No,Yes,3.85,Basic service,No
Zone 2,36,45,Married,1,94.00,High school degree,18,No,Female,5,Yes,Yes,No,No,7.20,15.75,28.35,0.00,0.00,258.75,553.80,"1,043.80",0.00,0.00,No,No,Yes,Yes,No,No,Yes,No,4.54,Basic service,Yes
Zone 3,27,34,Unmarried,8,21.00,Some college,4,No,Female,1,No,No,No,No,7.65,0.00,0.00,0.00,0.00,213.45,0.00,0.00,0.00,0.00,Yes,No,No,No,No,No,No,No,3.04,E-service,No
Zone 1,58,62,Married,36,27.00,Did not complete high school,0,No,Male,2,No,No,Yes,No,15.50,0.00,0.00,34.50,0.00,967.10,0.00,0.00,"1,910.00",0.00,No,No,No,No,No,No,No,No,3.30,Basic service,No
Zone 2,41,52,Unmarried,27,30.00,High school degree,2,No,Female,1,Yes,No,Yes,Yes,10.40,28.00,0.00,19.00,27.50,447.85,"1,152.00",0.00,800.00,"1,036.65",No,No,No,No,Yes,Yes,Yes,No,3.40,Plus service,No
Zone 2,47,40,Married,16,127.00,College degree,12,No,Female,4,No,Yes,Yes,No,19.70,0.00,28.15,14.75,0.00,909.90,0.00,"1,319.70",680.00,0.00,Yes,No,No,Yes,No,No,No,Yes,4.84,E-service,No
Zone 2,55,39,Married,15,137.00,High school degree,20,No,Female,2,Yes,No,Yes,No,12.70,27.50,0.00,11.50,0.00,676.90,"1,505.20",0.00,620.00,0.00,No,Yes,No,No,Yes,Yes,Yes,No,4.92,Plus service,Yes
Zone 2,56,50,Married,1,80.00,High school degree,24,No,Female,4,Yes,No,Yes,Yes,28.80,55.50,0.00,21.25,61.10,"1,558.10","3,119.45",0.00,"1,065.00","3,268.05",Yes,Yes,Yes,No,Yes,Yes,Yes,No,4.38,Total service,No
Zone 3,35,55,Unmarried,24,30.00,High school degree,2,No,Male,1,No,No,Yes,No,10.25,0.00,0.00,15.75,0.00,395.85,0.00,0.00,550.00,0.00,No,No,No,No,No,No,No,No,3.40,Basic service,No
Zone 2,69,51,Married,11,438.00,College degree,23,No,Female,2,No,Yes,Yes,No,29.00,0.00,47.05,24.75,0.00,"1,815.40",0.00,"3,064.15","1,655.00",0.00,Yes,No,Yes,Yes,No,No,Yes,No,6.08,Total service,No
Zone 2,44,39,Unmarried,16,79.00,High school degree,16,No,Male,1,Yes,Yes,Yes,Yes,15.25,24.50,37.45,27.25,30.05,653.70,"1,037.45","1,610.10","1,110.00","1,280.00",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.37,Total service,Yes
Zone 3,36,47,Married,16,63.00,Did not complete high school,23,No,Male,2,No,No,Yes,No,9.05,0.00,0.00,6.75,0.00,373.65,0.00,0.00,220.00,0.00,No,No,No,No,No,No,No,No,4.14,Basic service,No
Zone 3,28,51,Married,22,40.00,Some college,10,No,Female,6,Yes,No,No,No,8.95,21.25,0.00,0.00,0.00,253.55,586.95,0.00,0.00,0.00,No,No,No,No,Yes,Yes,Yes,No,3.69,Plus service,No
Zone 1,72,67,Married,44,51.00,Did not complete high school,34,Yes,Male,2,Yes,No,Yes,No,57.05,51.50,0.00,19.25,0.00,"4,168.25","3,657.90",0.00,"1,345.00",0.00,Yes,No,No,No,Yes,Yes,Yes,No,3.93,Plus service,No
Zone 1,16,27,Unmarried,5,37.00,Some college,5,No,Male,4,No,No,No,No,6.00,0.00,0.00,0.00,0.00,80.70,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,3.61,Basic service,No
Zone 3,3,43,Unmarried,19,61.00,College degree,11,No,Female,1,No,Yes,Yes,Yes,3.15,0.00,27.25,16.25,17.95,7.90,0.00,53.25,20.00,38.20,No,No,No,Yes,No,No,Yes,Yes,4.11,Basic service,Yes
Zone 1,40,57,Married,15,22.00,High school degree,9,No,Male,2,No,No,Yes,No,8.55,0.00,0.00,19.75,0.00,381.50,0.00,0.00,710.00,0.00,No,No,No,No,No,No,No,No,3.09,Basic service,No
Zone 3,16,39,Unmarried,6,44.00,College degree,3,No,Female,1,No,Yes,No,No,6.60,0.00,23.30,0.00,0.00,96.30,0.00,350.15,0.00,0.00,Yes,No,No,Yes,No,No,No,Yes,3.78,E-service,No
Zone 1,20,42,Unmarried,4,17.00,Some college,5,No,Male,1,No,No,No,No,7.80,0.00,0.00,0.00,0.00,175.85,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,2.83,Basic service,No
Zone 2,48,43,Unmarried,13,110.00,Post-undergraduate degree,15,No,Female,3,No,Yes,No,Yes,7.25,0.00,33.50,0.00,20.65,359.35,0.00,"1,572.70",0.00,"1,010.40",Yes,Yes,No,Yes,No,No,No,Yes,4.70,E-service,No
Zone 2,64,48,Married,13,91.00,High school degree,24,No,Male,2,Yes,No,Yes,Yes,24.50,24.75,0.00,12.50,29.65,"1,531.90","1,569.25",0.00,780.00,"1,875.95",Yes,No,No,No,Yes,Yes,Yes,No,4.51,Plus service,No
Zone 1,8,46,Unmarried,3,46.00,High school degree,8,No,Male,1,No,Yes,No,No,3.15,0.00,25.05,0.00,0.00,16.65,0.00,172.05,0.00,0.00,No,No,Yes,Yes,No,No,No,Yes,3.83,Basic service,No
Zone 1,40,38,Married,10,85.00,Some college,12,No,Male,2,No,No,No,No,10.60,0.00,0.00,0.00,0.00,384.80,0.00,0.00,0.00,0.00,No,No,No,No,Yes,Yes,Yes,No,4.44,Plus service,Yes
Zone 2,38,71,Unmarried,27,10.00,High school degree,12,Yes,Male,1,No,No,No,No,11.20,0.00,0.00,0.00,0.00,429.85,0.00,0.00,0.00,0.00,No,No,No,No,No,No,Yes,No,2.30,Basic service,No
Zone 1,67,68,Unmarried,28,244.00,Did not complete high school,47,No,Female,1,Yes,No,Yes,No,30.25,30.25,0.00,30.75,0.00,"2,186.20","2,036.15",0.00,"2,105.00",0.00,No,Yes,No,No,Yes,Yes,Yes,No,5.50,Plus service,No
Zone 1,26,42,Unmarried,0,80.00,College degree,15,No,Female,1,Yes,Yes,Yes,Yes,7.85,44.00,49.60,10.50,43.75,196.65,"1,123.25","1,159.35",250.00,"1,176.55",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.38,Total service,No
Zone 3,41,34,Married,15,83.00,Post-undergraduate degree,1,No,Female,2,Yes,No,Yes,No,8.90,33.75,0.00,5.75,0.00,379.55,"1,404.45",0.00,220.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.42,Total service,No
Zone 2,2,31,Unmarried,2,21.00,Did not complete high school,6,No,Male,1,No,Yes,No,No,1.65,0.00,21.60,0.00,0.00,3.20,0.00,17.25,0.00,0.00,No,No,No,No,No,No,Yes,No,3.04,Basic service,Yes
Zone 3,20,48,Married,29,24.00,High school degree,3,No,Male,2,Yes,No,Yes,No,11.85,22.50,0.00,35.00,0.00,230.70,452.75,0.00,675.00,0.00,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3.18,Total service,Yes
Zone 2,31,53,Unmarried,2,351.00,Some college,31,No,Female,1,Yes,No,Yes,No,5.50,31.50,0.00,19.25,0.00,185.30,"1,009.90",0.00,585.00,0.00,No,No,Yes,No,Yes,Yes,Yes,No,5.86,Plus service,No
Zone 2,45,52,Married,4,169.00,College degree,29,No,Female,4,No,Yes,Yes,No,14.65,0.00,40.45,14.25,0.00,618.15,0.00,"1,820.40",690.00,0.00,Yes,No,No,Yes,No,No,No,No,5.13,E-service,No
Zone 2,33,27,Married,7,46.00,High school degree,7,No,Male,4,No,Yes,No,No,7.25,0.00,29.15,0.00,0.00,243.35,0.00,923.85,0.00,0.00,No,No,No,No,No,No,No,Yes,3.83,Basic service,No
Zone 1,10,26,Unmarried,6,34.00,Some college,3,No,Male,1,No,Yes,No,No,4.85,0.00,27.70,0.00,0.00,41.85,0.00,223.05,0.00,0.00,Yes,No,No,No,No,No,No,No,3.53,E-service,No
Zone 2,62,54,Married,2,50.00,College degree,3,No,Male,2,No,Yes,Yes,Yes,17.25,0.00,48.00,87.50,33.25,"1,067.80",0.00,"2,864.15","5,455.00","2,022.55",Yes,Yes,Yes,Yes,No,Yes,No,Yes,3.91,Total service,Yes
Zone 2,4,35,Unmarried,16,161.00,Post-undergraduate degree,6,No,Female,1,Yes,Yes,No,Yes,3.40,23.75,49.80,0.00,35.75,10.35,103.10,126.95,0.00,135.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.08,Total service,Yes
Zone 1,42,47,Married,17,212.00,College degree,17,No,Male,2,Yes,No,Yes,No,7.45,26.75,0.00,24.75,0.00,320.90,"1,163.55",0.00,"1,035.00",0.00,No,No,No,No,Yes,Yes,No,No,5.36,Plus service,No
Zone 3,27,51,Married,3,80.00,Post-undergraduate degree,11,No,Male,3,No,Yes,No,No,7.10,0.00,39.40,0.00,0.00,176.20,0.00,"1,086.65",0.00,0.00,Yes,No,Yes,Yes,No,No,No,Yes,4.38,E-service,No
Zone 2,38,42,Unmarried,1,30.00,College degree,7,No,Female,1,Yes,No,No,No,13.20,27.50,0.00,0.00,0.00,495.85,"1,087.90",0.00,0.00,0.00,No,No,No,No,Yes,No,No,No,3.40,Basic service,No
Zone 3,52,61,Married,3,53.00,Post-undergraduate degree,1,No,Female,2,No,Yes,Yes,Yes,12.25,0.00,38.40,8.75,35.95,631.70,0.00,"1,884.10",465.00,"1,971.35",Yes,Yes,No,Yes,No,No,Yes,Yes,3.97,E-service,No
Zone 3,35,33,Unmarried,9,73.00,Post-undergraduate degree,4,No,Female,1,Yes,No,Yes,Yes,5.85,38.25,0.00,22.25,40.35,216.60,"1,337.60",0.00,700.00,"1,423.80",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.29,Total service,No
Zone 3,3,20,Married,1,17.00,High school degree,0,No,Female,4,No,No,No,No,3.75,0.00,0.00,0.00,0.00,12.30,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,Yes,2.83,Basic service,Yes
Zone 2,17,33,Unmarried,9,23.00,Post-undergraduate degree,3,No,Male,1,No,Yes,Yes,Yes,10.20,0.00,36.40,14.50,30.90,196.30,0.00,570.90,220.00,529.25,Yes,Yes,No,Yes,Yes,No,No,Yes,3.14,Total service,Yes
Zone 1,55,53,Married,21,34.00,Did not complete high school,8,No,Male,2,No,No,No,No,5.70,0.00,0.00,0.00,0.00,304.40,0.00,0.00,0.00,0.00,No,No,No,No,Yes,Yes,Yes,No,3.53,Plus service,No
Zone 3,43,36,Married,5,107.00,Did not complete high school,19,No,Female,3,Yes,No,Yes,No,11.55,12.75,0.00,21.50,0.00,491.55,583.75,0.00,910.00,0.00,Yes,No,No,No,No,No,No,No,4.67,E-service,Yes
Zone 2,47,25,Married,5,21.00,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,8.65,30.50,0.00,9.00,0.00,426.60,"1,465.45",0.00,405.00,0.00,No,No,No,No,Yes,Yes,Yes,No,3.04,Plus service,Yes
Zone 3,65,58,Unmarried,30,83.00,High school degree,16,No,Female,1,No,No,Yes,No,19.30,0.00,0.00,22.75,0.00,"1,323.20",0.00,0.00,"1,370.00",0.00,Yes,No,No,No,Yes,No,No,No,4.42,E-service,No
Zone 1,13,20,Unmarried,1,17.00,Some college,0,No,Male,5,No,Yes,Yes,No,3.05,0.00,31.30,14.00,0.00,40.30,0.00,390.60,155.00,0.00,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2.83,Total service,No
Zone 3,64,25,Married,4,76.00,Some college,2,No,Female,6,No,Yes,Yes,No,24.05,0.00,35.40,21.25,0.00,"1,536.55",0.00,"2,288.45","1,400.00",0.00,Yes,No,No,No,No,Yes,Yes,Yes,4.33,Plus service,No
Zone 2,12,24,Unmarried,2,19.00,Did not complete high school,0,No,Male,1,Yes,No,Yes,No,4.00,24.75,0.00,27.25,0.00,46.00,299.00,0.00,295.00,0.00,No,No,No,No,Yes,Yes,Yes,No,2.94,Plus service,Yes
Zone 1,29,32,Married,0,49.00,College degree,3,No,Female,3,No,Yes,No,No,6.70,0.00,33.00,0.00,0.00,187.00,0.00,918.25,0.00,0.00,Yes,No,Yes,Yes,No,No,No,Yes,3.89,E-service,Yes
Zone 2,23,47,Unmarried,21,173.00,Some college,22,No,Female,1,No,No,No,No,7.60,0.00,0.00,0.00,0.00,145.90,0.00,0.00,0.00,0.00,Yes,No,No,No,No,No,Yes,Yes,5.15,E-service,No
Zone 2,14,35,Unmarried,4,47.00,Some college,10,No,Female,1,Yes,No,No,Yes,5.00,21.75,0.00,0.00,24.15,76.20,318.20,0.00,0.00,274.00,Yes,No,No,No,No,Yes,Yes,Yes,3.85,E-service,Yes
Zone 1,35,61,Unmarried,23,41.00,High school degree,11,No,Male,1,No,No,Yes,No,9.60,0.00,0.00,9.50,0.00,353.55,0.00,0.00,295.00,0.00,No,No,No,No,No,No,No,No,3.71,Basic service,No
Zone 3,26,39,Unmarried,8,105.00,Some college,13,No,Female,1,Yes,No,Yes,Yes,6.60,39.75,0.00,37.25,38.25,159.70,"1,022.45",0.00,"1,005.00",885.10,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.65,Total service,No
Zone 1,13,54,Unmarried,2,31.00,College degree,2,No,Male,1,No,No,No,No,5.85,0.00,0.00,0.00,0.00,97.00,0.00,0.00,0.00,0.00,No,Yes,No,Yes,No,No,No,Yes,3.43,Basic service,No
Zone 2,69,40,Married,13,41.00,High school degree,17,No,Male,3,No,No,Yes,No,25.25,0.00,0.00,33.00,0.00,"1,725.10",0.00,0.00,"2,320.00",0.00,Yes,No,No,No,No,No,No,No,3.71,E-service,No
Zone 3,61,50,Married,30,102.00,College degree,9,No,Female,3,No,No,Yes,No,12.60,0.00,0.00,12.50,0.00,760.30,0.00,0.00,745.00,0.00,Yes,No,No,Yes,No,No,No,Yes,4.62,E-service,No
